Date,day,month,year,Close Before,Before_change,SA_T,SA_S,Title,Content,summary,Label
2009-06-09,9,6,2009,4.610000133514404,0.0,0.0,0.0258,UPDATE 3-Horlick seeks to trump Tchenguiz over Bramdean,* Celebrity fund manager makes approach for listed firm  * Move comes ahead of EGM requisition by Tchenguiz  * Pension fund investors give Horlick qualified backing    (Adds...,move comes ahead of EGM requisition by Tchenguiz * Pension fund,1.0
2009-06-19,19,6,2009,3.849999904632568,-0.16485904704355292,-0.3818,0.3182,NEWSMAKER-Tchenguiz trumps Horlick in Bramdean battle,"* City ""supermum"" Nicola Horlick ousted by poker fan  * Calls Horlick bluff on Bramdean approach    By Sinead Cruise and Joel Dimmock  LONDON June 19 (Reuters) - Vincent...",Nicola Horlick ousted by poker fan by sinead cruise and Joel Dim,0.0
2009-07-21,21,7,2009,4.170000076293945,0.08311692976312357,0.0,0.6249,UPDATE 1-INTERVIEW-Lamda to develop Balkan properties in 2010,* Lamda hopes to expand to Turkey next year  * Expects recurring EBITDA over 30 million euros in 2009    By Tatiana Fragou  ATHENS 21 July (Reuters) - Greece's leading shopping...,* Lamda hopes to expand to Turkey next year * Expects recurring EBITDA,0.0
2009-08-24,24,8,2009,3.700000047683716,-0.11270983693312986,0.5994,0.2263,US STOCKS-Wall St set to open higher on economy hopes | US STOCKS-Financials energy lead Wall St higher,* Chicago Fed economic index production indicators turn positive  * Crude futures rise above $74 per barrel  * Citigroup upgrades AMD shares jump  (Changes quote adds byline) ... | * Equities crude oil hit fresh 10-month highs  * Citigroup upgrades AMD shares jump  * Warner Chilcott soars on Procter deal  (Updates to mid-morning)  By Rodrigo Campos  NEW...,crude oil hit fresh 10-month highs * Citigroup upgrades AMD shares jump * Warner Chilcott soars on Procter,1.0
2010-10-14,14,10,2010,7.21999979019165,0.9513512694983706,-0.4767,-0.4215,US STOCKS-Banks drag Wall St lower Google jumps after the bell,* Banks slide on worries about U.S.-wide mortgage probe * Apollo Group tumbles for-profit education sector follows * Google AMD jump after hours following results * Dow flat...,banks slide on worries about mortgage probe . google AMD jump after hours following results .,0.0
2010-12-16,16,12,2010,8.020000457763672,0.11080341978109476,-0.4404,-0.8807,UPDATE 7-U.S. arrests 4 in widening insider trading probe,* Accused of passing tips on Apple AMD Dell and others  * Criminal complaints target expert network consultants  * Arrests broaden probe of insider trading at hedge funds  *...,criminal complaints target expert network consultants . arrests broaden probe of insider trading at,1.0
2011-07-22,22,7,2011,6.5,-0.18952623079868436,0.5106,-0.4404,US STOCKS-Earnings hope for US debt deal brighten Wall St,* Caterpillar drags the Dow lower  * Sandisk AMD lead chips higher  * Wall Street looks to Europe Washington wrangling  * Dow off 0.3 pct S&P up 0.09 pct Nasdaq up 0.9 pct  *...,* Caterpillar drags the Dow lower * Sandisk AMD lead chips higher * Wall Street,1.0
2015-01-05,5,1,2015,2.6700000762939453,-0.5892307574932392,0.0,0.0,Yogurt maker Chobani to replace CEO with president: NY Post,By Ankush Sharma  (Reuters) - Greek yogurt maker Chobani is considering replacing Chief Executive Hamdi Ulukaya with its President and Chief Operating Officer Kevin Burns the New...,Chobani is considering replacing chief executive Hamdi Ulukaya with its president and,0.0
2016-01-19,19,1,2016,2.0299999713897705,-0.2397004069724663,-0.2263,-0.1779,AMD revenue forecast misses market estimates,(Reuters) - Advanced Micro Devices (O:AMD) forecast first-quarter revenue below analysts' estimates due to lower demand for its graphic chips used in consoles and an...,Advanced Micro Devices (O:AMD) forecast first-quarter revenue below analysts' estimates,0.0
2016-02-05,5,2,2016,2.0899999141693115,0.029556622475449545,-0.4939,-0.5106,Yogurt maker Chobani rejects PepsiCo's offer for stake in company,(Reuters) - Greek-yogurt maker Chobani LLC founded by billionaire Hamdi Ulukaya said on Friday it had rejected offers from beverage giant PepsiCo Inc (N:PEP) and other...,yogurt maker Chobani LLC founded by billionaire Hamdi Ulukay,0.0
