Date,day,month,year,Close Before,Before_change,SA_T,SA_S,Title,Content,summary,Label
2014-01-14,14,1,2014,19.54899978637696,0.0,0.1779,0.0,Amazon: Retailers Must Adapt To Survive,By Nat Rudarakanchana -Â Amazon.com Inc. (NASDAQ:AMZN) specialist and ChannelAdvisor CEO Scot WingoÂ told retailers at New York industry trade showÂ that they needed a plan for...,channelAdvisor CEO Scot Wingo told retailers at new york industry trade show they needed,1.0
2014-04-11,11,4,2014,15.85550022125244,-0.18893547524095822,0.0,0.5574,Amazon.com To Acquire comiXology,By Sneha Shankar -Â Amazon.com NASDAQ:AMZNÂ announced Thursday that it has reached an agreement to acquire comiXology a seller of digital comics for an undisclosed amount. New...,comiXology is a seller of digital comics . it has reached an,0.0
2014-04-24,24,4,2014,16.229000091552734,0.02355648608295957,0.0,0.3182,Amazon's Revenue Grows Even As Spending Climbs,By Reuters -Â Amazon.com Inc's (NASDAQ:AMZN)Â revenue grew more than expected for the first quarter offset by a sharp increase in spending on technology content and new warehouses...,revenue grew more than expected for the first quarter offset by a sharp increase in spending on,0.0
2014-06-11,11,6,2014,16.620500564575195,0.024123511665160358,0.6369,-0.4404,Amazon's Brand Loyalty Should Support Its Fights With Hachette And Time Warner | Amazon.com Could Launch Local Services Marketplace In 2014 | Amazon Refuses To Sell Books Movies In Standoff,By Greg Morcroft - Like a familiar-feeling sequel toÂ Amazon.com's (NASDAQ:AMZN) dispute with publisher Hachette Book Group the mega-online retailer is now going head-to-head with... | By Reuters -Â Amazon.com Inc (NASDAQ:AMZN) later this year plans to launch a marketplace for local services a broad term that encompasses anything from babysitters to handymen to... | By Meagan Clark - In a tussle with suppliers online retailerÂ Amazon.com Inc (NASDAQ:AMZN) is refusing to sell what may be the biggest new releases of the summer: J.K. RowlingÂs...,the mega-online retailer is refusing to sell what may be the biggest new releases of the summer: J.K. Rowlings... | By Reuters - Amazon.com Inc,0.0
2014-06-24,24,6,2014,16.36199951171875,-0.015553144855782075,0.1779,-0.4019,Amazon Time Warner Spat Near Resolution: Report,By Greg Morcroft -Â Amazon.com Inc (NASDAQ:AMZN) andÂ Time Warner Inc (NYSE:TWX) appeared close to a resolution of a pricing dispute and the online retailer's customers are once...,amazon.com Inc (NASDAQ:AMZN) and Time Warner Inc (NYSE:T,1.0
2014-06-25,25,6,2014,16.20800018310547,-0.009412011563928013,0.4588,0.4588,Barnes & Noble Finally Breaks Up With Nook,By Christopher Zara - In its starkest admission yet that it canÂt beatÂ Amazon.com Inc (NASDAQ:AMZN) by trying to imitate AmazonÂ Barnes & Noble Inc (NYSE:BKS) is getting out of the...,Amazon.com Inc (NASDAQ:AMZN) is getting out of the...,1.0
2014-07-03,3,7,2014,16.642499923706055,0.026807732952365715,0.3612,0.6705,Amazon For First Time Ever Ranks Among Top 10 US Retailers | Amazon's Luxembourg taxes under scrutiny: FT,By Jeff Stone -Â Amazon.com NASDAQ:AMZN has become one of the top 10 largest companies in the United States jumping from No. 11 to No. 9 after sales increased by more than 27... | (Reuters) - European officials have asked Luxembourg to hand over documents relating to U.S. online retailer Amazon's (O:AMZN) tax affairs in the country the Financial Times...,NASDAQ:AMZN is one of the top 10 largest companies in the u.s. jumped from no. 11 to no,1.0
2014-07-11,11,7,2014,16.395999908447266,-0.014811477625886416,0.1779,-0.6486,Amazon Sued By FTC Over Unauthorized In-App Purchases,By Kukil Bora -Â The U.S. Federal Trade Commission filed a lawsuit againstÂ Amazon.com Inc (NASDAQ:AMZN) on Thursday claiming that the company has violated the FTC Act by unlawfully...,the u.s. federal trade commission filed a lawsuit against amazon.com Inc,1.0
2014-07-25,25,7,2014,17.930500030517578,0.09358990794332311,-0.1027,-0.296,U.S. stocks drop on Amazon Visa earnings; Dow falls 0.72%,Investing.com - Disappointing earnings from online retailer Amazon.com Inc (NASDAQ:AMZN) and credit card company Visa Inc (NYSE:V) sent broader stock indices falling on Friday in a...,broader stock indices fell on friday in a broader...,0.0
2014-07-30,30,7,2014,16.0,-0.10766571078508025,0.1779,0.4215,Amazon to invest $2 billion more in India as e-commerce race heats up,MUMBAI (Reuters) - Amazon.com Inc (O:AMZN) on Wednesday said it will invest a further $2 billion in India just a day after the country's largest e-tailer Flipkart attracted $1...,a day after the country's largest e-tailer attracted $1...,0.0
2014-08-06,6,8,2014,15.616000175476074,-0.02399998903274536,0.2732,0.4215,Amazon Expands Same-Day Delivery To 6 US Cities,By Sneha Shankar - Online retail giant Amazon.com Inc NASDAQ:AMZN on Wednesday expanded its same-day delivery feature to more cities across the United States. Now customers in...,amazon.com Inc NASDAQ:AMZN expanded its same-day delivery feature to more,0.0
2014-08-08,8,8,2014,15.572500228881836,-0.002785601056956466,0.1779,0.0,Amazon Spending $2B On Indian Expansion,By Jeff Stone - Amazon.com Inc. NASDAQ:AMZN despite only launching an Indian version of its website last year is investing in a deeper selection of products the U.S. company...,NASDAQ:AMZN despite only launching an Indian version of its website last year,1.0
2014-08-13,13,8,2014,15.965999603271484,0.025268862970368566,0.3818,0.0,Amazon.com takes on PayPal Square with credit card reader,By Deepa Seetharaman  SAN FRANCISCO (Reuters) - Amazon.com Inc (O:AMZN) unveiled a $10 credit-card reader and mobile app for businesses on Wednesday expanding further into...,Amazon.com Inc (O:AMZN) unveiled a $10 credit card reader,1.0
2014-12-02,2,12,2014,16.299999237060547,0.02091943142229713,0.1531,0.1531,Bezos defends Amazon's lack of profits stance on publishers,By Jennifer Saba  NEW YORK (Reuters) - Jeff Bezos the chief executive of Amazon.com Inc (O:AMZN) was unapologetic about his twenty-year-old company's lack of profit during...,Jeff Bezos the chief executive of amazon.com Inc was unapologetic about,0.0
