Date,day,month,year,Close Before,Before_change,SA_T,SA_S,Title,Content,summary,Label
2009-09-10,10,9,2009,29.38999938964844,0.0,0.5994,-0.128,European shares hit 11-month high; media tech boost,* FTSEurofirst 300 up 0.4 percent hits 11-month high  * Technology shares advance ASML leads  * Retailers lose ground Kesa Electricals slips  By Atul Prakash  LONDON Sept 10...,FTSEurofirst 300 up 0.4 percent hits 11-month high * Technology shares advance AS,0.0
2009-10-14,14,10,2009,31.64999961853028,0.07689691309343272,0.8555,0.6633,Strong tech bank shares boost European equities | European shares hit year high; oils miners soar,* FTSEurofirst 300 jumps 1.4 percent; targets 1-year high  * Banks advance; sector index up 170 percent from March lows  * ASML results boost tech stocks; miners in demand   * For... | * FTSEurofirst 300 rises 2.2 percent; hits 1-year high  * Weak dollar boosts oil metals prices  * Banks extend gains after JP Morgan  * BASF up on upbeat outlook  * Intel ASML...,* FTSEurofirst 300 jumps 1.4 percent; targets 1-year high * Banks advance; sector index up 170 percent from March lows,0.0
2010-10-13,13,10,2010,30.56999969482422,-0.03412322074954299,0.296,0.743,U.S. Fed drives European shares up; techs rise,* FTSEurofirst 300 index gains 1 percent  * Tech shares given a boost by Intel; ASML on results  * Standard Chartered slips on right issue  * For up-to-the minute market news...,FTSEurofirst 300 index gains 1 percent . tech shares given a boost by Intel,1.0
2010-12-09,9,12,2010,35.16999816894531,0.15047427281786718,0.8519,0.8885,European shares boosted by technology banks | European shares hit 26-month high; techs gain,* FTSEurofirst 300 index up 0.3 percent  * ASML jumps on Q4 bookings forecast  * Commods higher on global recovery hopes  * For up-to-the minute market news click on By Joanne... | LONDON Dec 9 (Reuters) - European shares hit a 26-month high on Thursday on optimism the U.S. tax cuts would boost consumption with technology stocks boosted after ASML...,euro shares hit a 26-month high on optimism the u.s. tax cuts would boost consumption with technology stocks boosted after AS,1.0
2011-01-19,19,1,2011,40.09999847412109,0.1401763025830609,-0.4939,0.4404,UPDATE 5-ASML's profits surge on demand for smartphone chips | European stocks drop as earnings fail to fuel rally,* Year net profit 1.022 bln euros vs. 151 mln loss in 2009  * Q4 profits sales orders beat analysts' forecasts  * Q4 net profit of 407 mln euro 8 times the year-ago figure  *... | * FTSEurofirst 300 down 0.5 pct Euro STOXX 50 down 0.3 pct  * Stellar IBM Apple ASML results fail to fuel rally  * Correction seen as indexes getting 'overbought'  * For...,net profit of 407 mln euro 8 times the year-ago figure * | * FTSEurofirst 300 down 0.5 pc,0.0
2016-09-08,8,9,2016,106.33000183105467,1.6516210941922043,0.296,0.296,Samsung Electronics says selling some of its shares in ASML,SEOUL (Reuters) - Tech giant  Samsung Electronics Co Ltd  (KS:005930) said on Thursday it is selling some of its shares in Dutch semiconductor equipment maker ASML Holding NV...,Samsung Electronics Co Ltd (KS:005930) said on Thursday it is selling some,0.0
2016-11-18,18,11,2016,102.55999755859376,-0.035455696487723065,0.5106,0.0,Large- and mid-cap stocks with strong relative volume today,Large-cap names with 5x their normal volume:ASML Holding (AS:ASML) (ASML +1.7%)The Gap (GPS -16.5%)Mid-caps with 5x their normal volume:HRG Group (HRG +3.8%)Grand Canyon Education...,Large-cap names with 5x their normal volume:ASML Holding (AS:AS,1.0
2017-04-19,19,4,2017,130.64999389648438,0.2738884263510484,0.5106,0.296,Chip equipment stocks surge after strong Lam Research ASML results,By Noel Randewich SAN FRANCISCO (Reuters) - Shares of semiconductor equipment suppliers surged on Wednesday after quarterly earnings reports from Lam Research (NASDAQ:LRCX) and...,shares of semiconductor equipment suppliers surged on Wednesday after quarterly earnings reports from Lam Research (NASDAQ:,0.0
2017-10-17,17,10,2017,176.58999633789062,0.35162651808315504,0.0,0.3182,Notable earnings before WednesdayÂs open,ABT ASML MTB MTG NTRS SVU UNF USB For Seeking Alpha's full earnings season calendar click here. Now read: Abbott Labs: Up Up And Away Original article,aBT ASML MTB MTG NTRS SVU UNF USB For,0.0
2017-11-16,16,11,2017,177.91000366210938,0.007474983586799766,0.296,0.296,ASML expects to announce new share buyback plan in January:  CFO,By Eric Auchard and Toby Sterling BARCELONA (Reuters) - Dutch semiconductor equipment supplier ASML is currently buying back its own shares and expects to announce a new buyback...,ASML is currently buying back its own shares and expects to announce a new buyback,1.0
2017-12-11,11,12,2017,171.97999572753906,-0.03333150363951831,0.0,0.4767,ASML Holding Cadence Design Workday among additions to Nasdaq 100,The annual re-ranking of the Nasdaq 100 (NASDAQ:QQQ) will become effective prior to next Monday's market open.Added to the index:  ASML Holdings  (NASDAQ:ASML) Cadence Design...,the annual re-ranking of the Nasdaq 100 (NASDAQ:QQ,1.0
2018-01-09,9,1,2018,183.8300018310547,0.06890339805734791,0.25,0.2023,Advanced Semiconductor Engineering Reports December Monthly Revenue,ASX reported December net revenues of $935M (+18% Y/Y).     ATM net revenue of $455M (+4.1% Y/Y).     Press Release Now read: ASML Holding (AS:ASML) Top Of Semiconductor Food Chain...,ASX reported December net revenues of $935M (+18% Y/Y) ATM,0.0
2018-01-16,16,1,2018,180.8699951171875,-0.016101869577238692,0.0,0.1779,Notable earnings before WednesdayÂs open (1/16/2018),ASML BAC FAST GS USBFor Seeking Alpha's full earnings season calendar click hereNow read: Regarded Solutions Positions For 2018: DGI Is The 'Secret Sauce'Original article,ASML BAC FAST GS USBFor Seeking Alpha's full earnings season calendar,1.0
