Date,day,month,year,Close Before,Before_change,SA_T,SA_S,Title,Content,summary,Label
2009-06-09,9,6,2009,47.52999877929688,0.0,-0.2732,0.7845,Another way to cut costs: shed shareholders,* Prime People offers to buy out majority of shareholders  * Offers 21 pence a share to those with 500 or fewer shares  * Cheerful Scout has offered to buy out most shareholders ...,Prime People offers to buy out majority of shareholders * Offers 21 pence a share to,0.0
2009-06-11,11,6,2009,46.59000015258789,-0.019776954572917727,0.0,0.5994,BGI spells big fees but CVC banks won't go hungry,"* Banks may bill $41mln for BGI-BlackRock deal Freeman says  * CVC banks will share in $35mln ""abort costs"" - source  * Fillip for banks after completed M&A fees hit nadir in...","freeman says * CVC banks will share in $35mln ""abort costs",1.0
2009-06-12,12,6,2009,46.27000045776367,-0.006868420128271713,-0.4939,0.3182,Aer Lingus to drop US routes to cut costs -report,DUBLIN June 12 (Reuters) - Irish airline Aer Lingus will announce on Friday that it is cutting several routes to the United States next winter and possibly indefinitely the...,Aer Lingus will announce on friday that it is cutting several routes to the united,1.0
2009-06-15,15,6,2009,47.02999877929688,0.0164252931492177,-0.296,0.6597,INTERVIEW-Polish banks dash for deposits nearing an end -BRE | Axa's UK health unit gives staff choice on cost cuts,* Retail deposits rose 2.7 pct in May first growth in 2009  * Expects Q2 costs income in line with Q1  * Czech Republic Slovakia units to remain loss-making    By Chris... | LONDON June 15 (Reuters) - Axa PPP Healthcare the British health insurer on Monday gave staff an opportunity to shape its cost-cutting plans by asking them to choose between a...,retail deposits rose 2.7 pct in may first growth in 2009 . expects Q2 costs income in line with Q1 .,0.0
2009-06-16,16,6,2009,46.33000183105469,-0.01488405201809917,-0.1531,-0.1027,UPDATE 2-Volvo says demand has bottomed shares rise | Italy's antitrust pressures T.Italia over access,* Says some markets in Asia started to recover  * Main markets don't appear to be bouncing back yet  * Says to reduce costs by 21 bln SEK in 2009  * Says has high liquidity... | ROME June 16 (Reuters) - Italy's antitrust regulator said competition was key in fixed-line telecoms even if that meant a costly separation of the network prompting Telecom...,italian antitrust regulator said competition was key in fixed-line telecoms even if that meant a costly separation of the network prompting Telecom,1.0
2009-06-17,17,6,2009,45.95000076293945,-0.008202051653287912,0.0,0.0,EU exec wants Sweden to reduce aid to the press,BRUSSELS June 17 (Reuters) - Sweden should reduce its aid to large metropolitan newspapers and put a cap on operating costs to bring government assistance to the press in line...,Sweden should reduce its aid to large metropolitan newspapers and put a cap on operating costs to bring,1.0
2009-06-19,19,6,2009,46.2400016784668,0.006311227654238527,-0.3612,-0.296,Singapore Airlines CEO takes 20 pct pay cut,SINGAPORE June 20 (Reuters) - The CEO of Singapore Airlines the world's biggest by market value will take a 20 percent pay cut as the carrier looks to cut costs after...,the CEO of the world's biggest by market value will take a 20 percent pay cut,0.0
2009-06-22,22,6,2009,46.11000061035156,-0.002811441682446403,0.4019,-0.2732,RPT-UPDATE 3-Drug company deal may give Obama a boost,(Refiles to fix typo in 12th paragraph)  * Obama announces deal to cut elderly drug costs  * Signs tobacco regulation bill  * Senator questions whether healthcare compromise...,senator questions whether healthcare compromises...,0.0
2009-06-23,23,6,2009,45.34999847412109,-0.01648237098612959,-0.2732,0.128,UPDATE 2-S.Africa's Telkom aims to save $246 mln in costs | UPDATE 1-UK refinery dispute costs Total threatens project,"* To save 30-40 million rand from delisting in NYSE  * To merge M-Web and Africa Online businesses  * NYSE delisting puts pressure on Telkom shares  (Adds chief of strategy... | * Total says delays overruns dispute costing 100 million euros  * French firm says construction project ""on thin ice""    (Adds comments details)  By Kate Kelland  LONDON June...",to save 30-40 million rand from delisting in NYSE * To merge M-Web and Africa Online businesses * NYSE de,0.0
2009-06-24,24,6,2009,45.06999969482422,-0.006174173951883355,-0.4019,0.1531,UPDATE 4-Kesa says no recovery in its markets yet | HK shares seen climbing; Sinopec eyed after acquisition | UPDATE 2-Sulzer cuts 11 pct of jobs as demand falls | INTERVIEW-BNP Paribas to split up Fortis Investments,* Not planning for markets to recover in current year  * Year pretax loss 81.8 mln stg vs 128.8 mln pretax profit * Exceptional costs 150.9 million sterling  * Dividend 5.0... | HONG KONG June 25 (Reuters) - Hong Kong shares are seen gaining on Thursday after the U.S. Federal Reserve stuck to its script of keeping borrowing costs low while shares in... | * To reduce costs by 110 million Swiss francs by H1 2011  * Sees one-off restructuring costs of 55 million francs  * No disposals seen confirms guidance  * Shares rise over 3... | * BNP IP deputy CEO says some Fortis units may stand alone  * Plans major programme of fund mergers by end-summer  * To cut costs in back office middle office    By Claire...,Hong Kong shares are seen gaining on Thursday after the U.S. Federal Reserve stuck to its script of keeping borrowing costs low while shares in... | to reduce costs by 110 million Swiss francs by H1 2011 .,1.0
