Date,day,month,year,Close Before,Before_change,SA_T,SA_S,Title,Content,summary,Label
2011-04-25,25,4,2011,34.967498779296875,0.0,0.0,0.3818,ANALYSIS-On Cloud 2: making fans of customers on social media,* More deals likely in Social CRM market  * S-CRM is a $1 bln market with 30-40 pct growth  * Targets are companies that monitor social media   By Siddharth Cavale	  BANGALORE...,S-CRM is a $1 bln market with 30-40 pc,0.0
2014-05-29,29,5,2014,53.34000015258789,0.5254165157551611,0.0,0.0,Microsoft To Put Salesforce Apps Into Windows-Run Devices,By Reuters -Â Microsoft Corporation (NASDAQ:MSFT)Â said on Thursday it would integrate rival Salesforce.com Inc (NYSE:CRM) apps into its Windows and online Office platforms...,Microsoft Corporation (NASDAQ:MSFT) said it would integrate rival Salesforce.com apps into its,0.0
2015-05-20,20,5,2015,71.4800033569336,0.3400825487898993,0.0,0.296,Shares in Salesforce.com soar 6% in after-hours after 1Q earnings beat | SAP chief sees no takers for software rival Salesforce,Investing.com -- Shares in Salesforce.com Inc (NYSE:CRM) soared nearly 7% in after-hours trading after the San Francisco-based cloud computing company narrowly beat analysts'... | By Harro Ten Wolde MANNHEIM Germany (Reuters) - German software company SAP's chief executive once again ruled out any move to acquire Salesforce.com (NYSE:CRM) then went...,shares in Salesforce.com Inc (NYSE:CRM) soared nearly 7% in after-hours trading,1.0
2015-05-22,22,5,2015,72.91000366210938,0.020005599300759735,0.0,0.0744,Microsoft Salesforce talks fall through on pricing: CNBC,"(Reuters) -  Microsoft Corp  (O:MSFT) and Salesforce.com Inc (N:CRM) held ""significant talks"" this spring but could not reach a deal over pricing CNBC reported citing...",Microsoft Corp (O:MSFT) and Salesforce.com Inc (N:CRM),1.0
2015-08-20,20,8,2015,72.04000091552734,-0.01193255661615289,0.3818,0.296,Shares in Salesforce.com gain 4% after narrowly beating 2Q EPS estimates,Investing.com -- Shares in Salesforce.com Inc (NYSE:CRM) rose more than 4% in after-hours trading after the San Francisco-based cloud software computing company said it narrowly...,shares in Salesforce.com Inc rose more than 4% in after-hours trading .,0.0
2016-02-25,25,2,2016,62.52000045776367,-0.13214881089363995,0.0,0.0,Salesforce quarterly revenue beats Wall St expectations,(Reuters) - Salesforce.com Inc (N:CRM) reported higher-than-expected quarterly revenue and raised its full-year revenue forecast saying customers were stepping up purchases of...,Salesforce.com Inc (N:CRM) reported higher-than-expected quarterly revenue ,1.0
2016-06-01,1,6,2016,83.70999908447266,0.33893151745934813,0.0,0.0,Salesforce takes aim at e-commerce with $2.8 billion Demandware buy,By Anya George Tharakan and Kshitiz Goliya (Reuters) - Cloud-based software maker Salesforce.com Inc (N:CRM) said on Wednesday it would buy Demandware Inc (N:DWRE) whose software...,Salesforce.com Inc (N:CRM) said it would buy Demandware Inc .,0.0
2016-08-01,1,8,2016,81.80000305175781,-0.022816820614075528,0.0,0.2732,Salesforce to buy document-editing startup Quip for about $582 million,(Reuters) - Cloud-based software maker Salesforce.com Inc (N:CRM) said on Monday it agreed to acquire document-editing startup Quip for about $582 million. Salesforce has an...,cloud-based software maker Salesforce.com Inc agreed to acquire document-editing startup Quip,0.0
2016-08-31,31,8,2016,79.83000183105469,-0.024083143608889968,0.0772,0.0,Salesforce third-quarter revenue forecast misses shares fall,By Aishwarya Venugopal and Gayathree Ganesan (Reuters) - Cloud software maker Salesforce.com Inc (N:CRM) forecast third-quarter revenue below estimates as it saw some softness...,Salesforce.com Inc (N:CRM) forecast third-quarter revenue below estimates .,0.0
2017-02-28,28,2,2017,81.54000091552734,0.021420506642246595,0.743,-0.0129,SalesForce shares down in after-hours trade despite eps and revenue beat | Salesforce.com forecasts lower-than-expected Q1 profit; shares fall,Investing.com Â Salesforce.com Inc (NYSE:CRM) shares lost more than 1.5% in after-hours trading despite the company reporting earnings and revenue that beat analystsÂ... | By Rishika Sadam and Stephen Nellis (Reuters) - Salesforce.com Inc (N:CRM) raised its revenue forecast for its full fiscal year to slightly above analysts expectations but lowered...,Investing.com shares lost more than 1.5% in after-hours trading despite the company reporting earnings and,1.0
