Date,day,month,year,Close Before,Before_change,SA_T,SA_S,Title,Content,summary,Label
2020-07-31,31,7,2020,34.790000915527344,0.0,-0.2263,0.296,DraftKings Drops as MLB Confronts Covid Spread,Investing.com -- Shares of DraftKings Inc (NASDAQ:DKNG) tumbled more than 3% on Friday on concern about the spread of Covid-19 and its effect on Major League Baseball. The sports...,Shares of DraftKings Inc tumbled more than 3% on friday .,0.0
2020-09-02,2,9,2020,36.93000030517578,0.061511909552532495,0.296,0.0,NBA Legend & Gambler Michael Jordan Bets on DraftKings Leading Shares Higher,By Christiana Sciaudone Investing.com --Â  NBA legend and noted gambler Michael Jordan is making a bet on DraftKings (NASDAQ:DKNG) Inc. taking an equity stake and becoming a...,NBA legend and noted gambler is making a bet on DraftKings .,1.0
2020-09-14,14,9,2020,41.459999084472656,0.12266446633800832,0.4939,0.6124,DraftKings Caesars Jump on ESPN Partnership Agreement,By Christiana Sciaudone Investing.com --Â  DraftKings (NASDAQ:DKNG) and Caesars (NASDAQ:CZR) Entertainment popped after inking deals with ESPN. Shares of DratKings rose nearly 12%...,draftKings and Caesars popped after inking deals with ESPN . shares of,1.0
2020-10-01,1,10,2020,58.84000015258789,0.4191992631911148,0.5859,0.296,DraftKings Nails Philadelphia Eagles for Another Win,By Christiana Sciaudone Investing.com --Â  DraftKings (NASDAQ:DKNG) bagged another deal pushing shares up 3% on Thursday.Â  The sports betting app and the Philadelphia Eagles...,DraftKings (NASDAQ:DKNG) bagged another deal pushing shares up ,1.0
2020-10-07,7,10,2020,56.77999877929688,-0.03501022039342072,0.5574,0.6486,NFL Players Test Covid Positive DraftKings Tumbles,By Christiana Sciaudone Investing.com --Â  Robinhood sweetheart DraftKings (NASDAQ:DKNG) fell 4% on Wednesday after NFL players proved to be just as prone to catch the coronavirus...,DraftKings (NASDAQ:DKNG) fell 4% on Wednesday . draft,0.0
2020-11-17,17,11,2020,42.72999954223633,-0.24744627578582234,0.7845,0.0,DraftKings Feels the Love as Analysts Boost Price Targets,By Christiana Sciaudone Investing.com -- Â  DraftKings (NASDAQ:DKNG) rose 5% after getting a Street-high price target amid a battery of price target increases. The company reported...,DraftKings (NASDAQ:DKNG) rose 5% after getting a Street,1.0
2021-01-08,8,1,2021,49.77000045776367,0.1647554643329372,0.0,0.0,New York Mulls Online Betting Pushing Penn and DraftKings Higher,By Christiana Sciaudone Investing.com --Â  Time to roll the dice.Penn Gaming and DraftKings Inc (NASDAQ:DKNG) rallied Friday on the tantalizing possibility that New York will...,new: draftKings and penn Gaming rallied on the tantalizing possibility that,1.0
2021-01-19,19,1,2021,53.70000076293945,0.07896323626741575,0.7096,-0.3818,DraftKings No Longer a Good Bet Gets Short Seller Best Idea Nomination,By Christiana Sciaudone Investing.com -- Betting on gambling is losing its luster.Â  DraftKings (NASDAQ:DKNG) is down more than 4% after Berenberg initiated coverage with a sell....,DraftKings (NASDAQ:DKNG) is down more than 4% after Ber,0.0
2021-01-26,26,1,2021,51.290000915527344,-0.044878953690357215,0.0,0.6969,DraftKings Jumps 7% After Goldman Upgrade,By Liz Moyer Investing.com -- DraftKings Inc (NASDAQ:DKNG) jumped 7% after Goldman Sachs (NYSE:GS) upgraded the stock citing improving chances for more states to allow online...,DraftKings Inc (NASDAQ:DKNG) jumped 7% after goldman,1.0
2021-03-10,10,3,2021,62.20000076293945,0.21271202286349067,0.4939,0.6597,DraftKings Jumps on Buying from Cathie Wood's ARK Norway's Wealth Fund,By Dhirendra Tripathi Investing.com - DraftKings (NASDAQ:DKNG) shares jumped 9% on Wednesday after reports that Cathie Wood's ARK and the Norwegian sovereign wealth fund were...,draftKings shares jumped 9% on Wednesday after reports that the Norwegian sovereign wealth fund,1.0
2021-03-30,30,3,2021,58.20000076293945,-0.06430868088322139,0.0,0.3597,DraftKings Rises as Cathie Wood Buys More Acquisition Announced,By Christiana Sciaudone Investing.com --Â  DraftKings (NASDAQ:DKNG) rose 1.5% after Cathie Wood bought more shares and the company announced it acquired a sports betting news and...,DraftKings (NASDAQ:DKNG) rose 1.5% after cathie wood,1.0
