Date,day,month,year,Close Before,Before_change,SA_T,SA_S,Title,Content,summary,Label
2009-07-08,8,7,2009,9.925676345825195,0.0,0.1779,-0.6486,US STOCKS-Futures point slightly higher after selloff | US STOCKS-Wall St rises on bargain hunting; Alcoa Q2 awaited | US STOCKS-Futures flat after selloff; Q2 earnings weigh | US STOCKS-Wall St set for flat open as earnings kick off,* Weakness expected as Q2 earnings season begins  * Google to launch operating system  * Futures up: Dow 5 pts; S&P 500 2.4 pts; Nasdaq 4.5 pts  NEW YORK July 8 (Reuters) - U.S.... | * Alcoa to report Q2 results after bell; loss expected  * Google to launch operating system; shares rise  * Dow up 0.5 pct S&P up 0.4 pct Nasdaq up 0.3 pct  (Updates to... | * Alcoa to report Q2 results; loss expected  * Google to launch operating system  * Futures: Dow off 1 pt; S&P 500 flat; Nasdaq off 1.25 pts  By Rodrigo Campos  NEW YORK July 8... | * Alcoa to report Q2 results; loss expected  * Google to launch operating system; shares rise  * Futures: Dow off 13 pts; S&P 500 off 0.9; Nasdaq up 1  By Rodrigo Campos  NEW...,weakness expected as Q2 earnings season begins * Google to launch operating system * Futures: Dow off 1 pt; S&P 500 off 0.9; Nasdaq up 1 By rodrigo campos NEW YORK July 8 .,1.0
2009-07-16,16,7,2009,10.965214729309082,0.10473224667668357,0.7213,0.4648,FTSE falls in early trade; U.S earnings awaited | JP Morgan lifts FTSE into positive territory,* FTSE 100 down 0.2 percent in choppy trade  * Miners energy firms and banks in negative territory  * Earnings from U.S. firms JPMorgan Google IBM eyed     By Harpreet Bhal  ... | * FTSE 100 up 0.2 percent  * JP Morgan results boost banks  * Miners oils lose ground  * Defensives gain ground  * Earnings from U.S. firms Google IBM eyed     By David Brett  ...,FTSE 100 down 0.2 percent in choppy trade * Miners energy firms and banks in negative territory * Earnings from U.S,0.0
2009-07-17,17,7,2009,11.076075553894045,0.010110228328556126,-0.7184,-0.0129,US STOCKS-Futures fall as mixed earnings provoke caution | US STOCKS-Futures lower after GE BofA quarterly results | US STOCKS-S&P 500 futures hit session low amid caution,* GE posts sharp drop in quarterly profit  * IBM rises after results but Google slips  (Updates prices adds byline)  By Rodrigo Campos  NEW YORK July 17 (Reuters) - U.S. stock... | * GE posts sharp drop in quarterly profit  * IBM rises after results but Google slips  NEW YORK July 17 (Reuters) - U.S. stock index futures fell on Friday after General... | NEW YORK July 17 (Reuters) - S&P 500 stock index futures fell to a session low on Friday as mixed quarterly results from bellwethers General Electric  Bank of America and Google...,GE posts sharp drop in quarterly profit * IBM rises after results but Google slips NEW YORK July 17 (Reuters) - U.S. stock index futures fell on Friday after general... | NEW,0.0
2009-08-03,3,8,2009,11.087336540222168,0.0010166946111309638,0.0,-0.296,COLUMN-Apple-Google learn corporate governance 1.0: Eric Auchard,-- Eric Auchard is a Reuters columnist. The views expressed are his own --  By Eric Auchard  LONDON Aug 3 (Reuters) - The resignation of Google  CEO Eric Schmidt from Apple's ...,the views expressed are his own -- by Eric Auchard LONDON Aug 3 (Reuters),1.0
2009-10-15,15,10,2009,13.396395683288574,0.20826094118183391,0.0,0.4939,US STOCKS-Dow S&P end at 2009 highs with oil; Google up late | US STOCKS-Wall St ends at 2009 highs on oil; Google up late,* Energy stocks rise after EIA inventory data  * Oil prices hit year's high above $77 a barrel  * Goldman Sachs Citigroup slip after results  * Google jumps after bell following... | * Energy stocks rise after EIA inventory data  * Oil prices hit year's high above $77 a barrel  * Goldman Sachs Citigroup slip after results  * Google jumps after bell...,oil prices hit year's high above $77 a barrel * goldman Sachs Citigroup slip after results * google jumps after bell following,1.0
2009-10-28,28,10,2009,13.72097110748291,0.024228563553048144,-0.4215,0.5106,UPDATE 4-TomTom sinks amid price fears Google entry,* Average selling price 99 euros versus expected 109 euros  * No clear view on Christmas sales spend  * Net profit 31 million euros in line with forecast  * Google launches...,average selling price 99 euros versus expected 109 euros * No clear view on Christmas sales spend,1.0
2010-08-23,23,8,2010,11.56206226348877,-0.1573437351541941,0.0,0.0,China's Tencent buys Google-backed social-networking co -report,SHANGHAI Aug 24 (Reuters) - China's largest Internet company Tencent Holdings Ltd has bought a Google-backed Chinese social networking company for more than $60 million the...,Tencent Holdings Ltd has bought a social networking company for more than $60 million ,0.0
2010-09-03,3,9,2010,11.59109115600586,0.0025107019712875545,-0.2263,0.0,RPT-UPDATE 1-Google settles Buzz privacy lawsuit,* Proposed class action involved Buzz social networking  * Google also announces tweaks to privacy policy  (Adds Google comment antitrust review by Texas AG details on privacy...,google also announces tweaks to privacy policy (adds Google comment antitrust review by Texas,1.0
2010-10-05,5,10,2010,13.071822166442873,0.1277473354758134,-0.128,0.8519,ANALYSIS-As bandwidth clogs optic components are in demand,* Sector to see sequential years of double-digit growth  * Products like ROADMs transceivers driving growth  * Internet cos Facebook Google seen as growth driver  By Jennifer...,* Sector to see sequential years of double-digit growth * Products like ROADMs trans,1.0
2010-10-14,14,10,2010,13.59609603881836,0.04010717600805247,-0.4767,-0.4215,US STOCKS-Banks drag Wall St lower Google jumps after the bell,* Banks slide on worries about U.S.-wide mortgage probe * Apollo Group tumbles for-profit education sector follows * Google AMD jump after hours following results * Dow flat...,banks slide on worries about mortgage probe . google AMD jump after hours following results .,1.0
