Date,day,month,year,Close Before,Before_change,SA_T,SA_S,Title,Content,summary,Label
2014-06-12,12,6,2014,27.93000030517578,0.0,0.2023,0.2263,EU Court Upholds Intel's $1.5B EU Antitrust Fine,By Reuters - Europe's second-highest court backed on Thursday a record 1.06 billion euros fine levied on U.S. chipmakerÂ Intel (NASDAQ:INTC) by European Union antitrust regulators...,a record 1.06 billion euros fine levied on chipmaker Intel (NASDAQ:,1.0
2014-07-15,15,7,2014,31.489999771118164,0.12746149040616617,-0.6249,-0.6249,Intel says worst is over for battered PC industry,By Noel Randewich  SAN FRANCISCO (Reuters) - Intel Corp (O:INTC) believes the worst is over for a personal computer industry hammered by the mobile revolution.  The Santa Clara...,Intel Corp (O:INTC) believes the worst is over for a personal computer industry,1.0
2014-07-16,16,7,2014,31.709999084472656,0.006986323116974669,0.0,0.0,U.S. stocks rise on Intel earnings U.S. data; Dow rises 0.45%,Investing.com - Upbeat earnings from chipmaker Intel Corporation (NASDAQ:INTC) and mixed-but-solid economic indicators in the U.S. sent Wall Street stock indices rising on...,upbeat earnings from chipmaker Intel Corporation (NASDAQ:INTC) and mixed-but-,1.0
2014-10-14,14,10,2014,31.46999931335449,-0.007568583350596403,0.0,0.4404,Intel gives rosy fourth-quarter revenue forecast as PCs recover,By Noel Randewich SAN FRANCISCO (Reuters) - Intel Corp (O:INTC) gave a current-quarter revenue forecast above expectations and said the supply chain was in good shape ahead of...,the supply chain is in good shape ahead of the quarter . a current-quarter revenue,0.0
2015-03-12,12,3,2015,32.33000183105469,0.02732769419970249,-0.6124,-0.2263,Intel cuts revenue forecast as desktop demand weakens,By Anya George Tharakan and Sai Sachin R (Reuters) -  Intel Corp  (O:INTC) slashed nearly $1 billion from its first-quarter revenue forecast as small businesses put off upgrading...,Intel Corp (O:INTC) slashed nearly $1 billion from its first-,0.0
2015-03-27,27,3,2015,30.07999992370605,-0.06959485864264292,0.296,0.2023,Intel in talks to buy Altera shares of firms surge,(Reuters) -  Intel Corp  (O:INTC) is in talks to buy fellow chipmaker  Altera Corp  (O:ALTR) in a deal likely to top $10 billion according to a source familiar with the matter...,Intel is in talks to buy Altera Corp (O:ALTR) in a deal,1.0
2015-04-14,14,4,2015,31.729999542236328,0.054853710861545224,0.296,0.4019,Shares in Intel up more than 3% in after-hours despite flat earnings | Intel sees revenue holding cuts capital spending shares up,Investing.com -- Shares in computer chipmaker Intel Corporation (NASDAQ:INTC) gained more than 3% in after-hours trading after the California-based tech giant posted flat earnings... | (Reuters) - Chipmaker  Intel Corp  (NASDAQ:INTC) forecast revenue broadly in line with Wall Street's expectations and signaled a hefty cut in capital expenditures this year...,shares in computer chipmaker Intel Corporation (NASDAQ:INTC) gained more than 3% in after-hours trading,1.0
2015-07-15,15,7,2015,29.64999961853028,-0.0655531028589309,0.4404,0.3818,Intel serves up revenue profit beat as data center business grows,By Abhirup Roy and Anya George Tharakan (Reuters) -  Intel Corp  (O:INTC) reported better-than-expected quarterly results on Wednesday as growth in its data centers and...,Intel Corp (O:INTC) reported better-than-expected quarterly results on Wednesday ,1.0
2015-10-14,14,10,2015,32.040000915527344,0.08060712741134046,0.0772,0.5423,European Commission clears Intel's $16.7 billion bid for Altera,BRUSSELS (Reuters) - World No. 1 chipmaker  Intel Corp  (O:INTC) gained unconditional EU antitrust approval on Wednesday for its $16.7 billion bid for  Altera Corp  (O:ALTR) its...,world no. 1 chipmaker Intel Corp (O:INTC) gained unconditional antitrust approval,1.0
2015-10-21,21,10,2015,33.439998626708984,0.04369530808918198,0.0,0.4404,Intel says may invest up to $5.5 billion in China memory chip plant,(Reuters) -  Intel Corp  (O:INTC) said it may invest up to $5.5 billion in manufacturing semiconductors in China stepping up efforts to improve ties with Beijing as it seeks new...,Intel Corp (O:INTC) may invest up to $5.5 billion in manufacturing semiconductors,1.0
2016-03-11,11,3,2016,31.25,-0.06549039224420905,0.0,0.3818,Intel plans to sell part of venture capital unit: Bloomberg,(Reuters) -  Intel Corp  (NASDAQ:INTC) is looking to sell part of its venture capital portfolio assets that could be worth as much as $1 billion Bloomberg reported.  The...,Intel Corp (NASDAQ:INTC) is looking to sell part of its venture capital portfolio assets,1.0
2016-04-19,19,4,2016,31.64999961853028,0.012799987792968981,-0.2732,-0.2732,Intel to cut up to 12000 jobs as PC industry swoons,By Narottam Medhora (Reuters) -  Intel Corp  (O:INTC) said on Tuesday it would cut up to 12000 jobs globally or 11 percent of its workforce as it refocuses its business towards...,Intel Corp (O:INTC) said it would cut up to 12000 jobs globally ,1.0
2016-07-01,1,7,2016,32.79999923706055,0.03633490149734375,0.0,0.0,BMW to develop driverless car technology with Intel Mobileye,By Edward Taylor FRANKFURT (Reuters) - BMW (DE:BMWG) is teaming up with Intel (O:INTC) and Mobileye (N:MBLY) to develop new technology for the auto industry that could put...,BMW (DE:BMWG) is teaming up with Intel (O:INTC),0.0
2016-07-20,20,7,2016,35.150001525878906,0.07164641291098284,0.8316,0.3818,Today's Trending Stocks: MSFT MS INTC TSLA NTDOY & More | Intel's slowing data center growth overshadows strong profit,Investing.com - Among the stocks trending on Wednesday are Microsoft (NASDAQ:MSFT)  Morgan Stanley  (NYSE:MS) Intel (NASDAQ:INTC) Tesla (NASDAQ:TSLA) Nintendo (T:7974) and... | By Sai Sachin R (Reuters) -  Intel Corp  (O:INTC) on Wednesday reported slower revenue growth at its data center business which makes semiconductors used in high-end servers...,stocks trending on Wednesday are Microsoft (NASDAQ:MSFT) Morgan Stanley (NYSE:MS) Intel (NASDAQ,0.0
2016-09-07,7,9,2016,36.56999969482422,0.04039823918357022,0.34,0.34,Intel to spin out security unit sell stake in business to TPG,(Reuters) -  Intel Corp  (O:INTC) said it would spin out its cyber security division formerly known as McAfee and sell a majority stake in it to investment firm TPG for $3.1...,Intel will spin out its cyber security division formerly known as McAfee .,0.0
2016-09-15,15,9,2016,35.619998931884766,-0.02597759832833435,0.0,0.0,Teva Intel to develop wearable technology for Huntington's disease,(Reuters) - Teva Pharmaceutical Industries Ltd (TA:TEVA) said on Thursday it was collaborating with  Intel Corp  (O:INTC) to develop a wearable technology platform to track the...,Teva Pharmaceutical Industries Ltd (TA:TEVA) is collaborating with Intel Corp (O,1.0
