Date,day,month,year,Close Before,Before_change,SA_T,SA_S,Title,Content,summary,Label
2015-02-03,3,2,2015,115.5199966430664,0.0,0.0,0.0,Target picks former Tesco executive McNamara as new CIO,(Reuters) - U.S. retailer Target Corp (N:TGT) on Tuesday named Mike McNamara a former executive at British retailer Tesco PLC (L:TSCO) its new chief information officer. The...,Mike McNamara is a former executive at British retailer Tesco PLC .,0.0
2015-03-30,30,3,2015,96.4800033569336,-0.1648198912692369,0.4588,0.6908,UnitedHealth to buy pharmacy benefit firm Catamaran for $12.8 billion | UnitedHealth Group Bids $12.8B For Catamaran,By Sneha Banerjee (Reuters) - Health insurer UnitedHealth Group (NYSE:UNH) agreed to buy  Catamaran  Corp (NASDAQ:CTRX) in a deal worth about $12.8 billion to boost its pharmacy... | By Amy Nordrum -   UnitedHealth Group (NYSE:UNH) Inc. the nationÂs largest health insurance company is shelling out $12.8 billion to buy Catamaran the fourth-largest U.S....,the nation's largest health insurance company is shelling out $12.8 billion to buy catamaran the fourth-large,0.0
2015-05-05,5,5,2015,94.4000015258789,-0.021558890533612374,0.0,0.0,Adidas begins marathon turnaround in North America,By Emma Thomasson BERLIN (Reuters) - German sportswear company Adidas (DE:ADSGn) turned around its sales in North America in the first quarter helped by a marketing campaign...,adidas (DE:ADSGn) turned around its sales in north America in the first quarter,0.0
2015-07-13,13,7,2015,47.040000915527344,-0.5016949136104436,0.2023,0.5106,European stocks rally on Greek deal; Dax jumps 1.5% | U.S. pre-market top movers of the day,Investing.com - European stock markets rallied after the open on Monday as investors cheered news that a deal over a third bailout deal for Greece was reached after marathon... | Investing.com - U.S. stock futures pointed to a higher open on Monday as market sentiment recovered after a deal over a third bailout deal for Greece was reached after marathon...,european stock markets rallied after the open on Monday as investors cheered news that a deal over a third bailout deal for Greece,1.0
2016-06-22,22,6,2016,39.84000015258789,-0.15306123772975566,0.0,0.0,Blackstone buys minority stake in hedge fund Marathon,By Svea Herbst-Bayliss BOSTON (Reuters) - Blackstone (NYSE:BX) Group LP the world's biggest investor in hedge funds said on Wednesday that it bought a minority stake in $13...,blackstone (NYSE:BX) Group LP is the world's biggest investor in,1.0
2016-08-22,22,8,2016,47.040000915527344,0.18072291002417984,-0.0258,0.5574,Marathon Oil's shares slump as CFO resigns,(Reuters) -  Marathon Oil  (NYSE:MRO) Corp's shares fell as much as 8 percent on Monday wiping about $1.14 billion from its market value after the oil producer said Chief...,marathon oil shares fell as much as 8 percent on Monday wiping about $1.14 billion from,1.0
2016-08-23,23,8,2016,45.91999816894531,-0.02380958173434755,-0.4019,-0.25,VW suppliers settle dispute after marathon talks,By Andreas Cremer BERLIN (Reuters) - Volkswagen (DE:VOWG_p) and two of its parts suppliers on Tuesday resolved a contract dispute that had hit output at more than half of the...,Volkswagen (DE:VOWG_p) and two of its parts suppliers resolved a contract,0.0
2016-10-11,11,10,2016,38.560001373291016,-0.1602786822546457,0.0,-0.2023,Marathon sues BP for breach of contract in Texas oil refinery sale,HOUSTON (Reuters) - Marathon Petroleum Corp (N:MPC) alleged  BP  Plc (L:BP) failed to deliver a Texas oil refinery and three products terminals in the condition promised under a...,marathon Petroleum Corp (N:MPC) alleged BP Plc failed to deliver ,0.0
2016-10-27,27,10,2016,35.52000045776367,-0.07883819520901347,0.0258,-0.4767,Marathon Petroleum posts Q3 miss; plans to dropdown MPLX assets,Marathon Petroleum (NYSE:MPC) -1% premarket after Q3 earnings and revenues came in below expectations as its refining and marketing gross margin fell nearly 38% to $10.75/bbl.The...,marathon Petroleum (NYSE:MPC) -1% premarket after Q3 earnings and revenues,1.0
2016-11-10,10,11,2016,37.119998931884766,0.04504500150622537,0.0,0.0,Allergan launches softgel oral contraceptive,Allergan (AGN +1.8%) announces the availability of TAYTULLA (norethindrone acetate and ethinyl estradiol capsules and ferrous fumarate capsules) 1mg/20 mcg an oral contraceptive...,allergan (AGN +1.8%) announces the availability of TAYTULLA,0.0
2016-11-14,14,11,2016,36.79999923706055,-0.008620681681899223,0.0,0.296,Public Storage insider buys $15M of company stock,The daughter of Public Storage (NYSE:PSA) co-founder B. Wayne Hughes board member and 10%-plus owner Tamara Gustavson last week purchased nearly 70K shares of stock at about $215...,"the daughter of public storage co-founder, Tamara Gustavson, purchased nearly 70K shares",1.0
2016-11-18,18,11,2016,34.720001220703125,-0.056521686398914306,0.0,0.3535,Insider buy at American Homes 4 Rent,Daughter of founder Wayne Hughes and a member of the board Tamara Gustavson purchased more than 80K shares of American Homes 4 Rent (AMH +2.1%) this week at just over $20.50 each....,daughter of founder Wayne Hughes and member of board Tamara Gustavson purchased more than 80K shares,0.0
