Date,day,month,year,Close Before,Before_change,SA_T,SA_S,Title,Content,summary,Label
2013-01-08,8,1,2013,29.420000076293945,0.0,0.0,0.0,U.S. stocks dip as earnings season kicks off Dow slides 0.41%,Investing.com - U.S. stock prices fell on Tuesday as investors sold late in the session to wait for metals giant Alcoa kick off fourth-quarter earnings season.At the close of U.S....,investors sold late in the session to wait for metals giant Alcoa to kick off fourth,1.0
2013-11-12,12,11,2013,46.20000076293945,0.5703603209765624,0.1027,0.4336,Asian stocks fall on lack of China economic clarity Shanghai down 0.9%,Investing.com - Asian shares fell on Wednesday partly linked to a lack of clarity on economic policies including a timetable for a fully-convertible yuan following aÂ  senior...,shares fell partly due to a lack of clarity on economic policies including a timetable for,1.0
2014-03-17,17,3,2014,67.72000122070312,0.46580086801700893,0.5719,0.5719,UBS Reviews Precious Metals In Response To Regulators,By Nat Rudarakanchana -Â Swiss banking giant UBS AG (VTX:UBSN) disclosed in its annual report on Friday that it is reviewing its precious metals business as global regulators step...,UBS AG (VTX:UBSN) is reviewing its precious metals business as global,1.0
2014-03-19,19,3,2014,69.19000244140625,0.021707046577159828,0.0,0.4588,U.S. stocks fall on Yellen's stimulus timetable words; Dow falls 0.62%,Investing.com - U.S. stocks fell on Wednesday after Federal Reserve Chair Janet Yellen said interest rate hikes were possible not long after the Fed wraps up its monthly...,u.s. stocks fell after federal reserve chair said interest rate hike,0.0
2014-07-11,11,7,2014,64.87000274658203,-0.06243676170531465,0.0,0.2263,Nine Automakers One Metal-Spitting Airbag,By Angelo Young - Investigations by the U.S. traffic safety watchdog are ongoing but so far vehicles from all major Japanese and U.S. automakers and BMW have been found to contain...,so far vehicles from all major Japanese and U.S. automakers and BMW have been found,1.0
2014-07-16,16,7,2014,67.16999816894531,0.03545545437000097,0.5859,0.6003,China growth data lifts Europe shares oil and metals,By Nigel Stephenson  LONDON (Reuters) - Stocks rose in Europe and aluminum hit a 13-month high on Wednesday after China reported economic growth that was slightly stronger than...,stocks rose in Europe and aluminum hit a 13-month high on monday .,0.0
2014-07-29,29,7,2014,74.91999816894531,0.11537889253037159,-0.34,0.0,Exclusive: Goldman unit eyes foray into China amid metals financing scandal,By Josephine Mason Melanie Burton and Susan Thomas  NEW YORK/SYDNEY/LONDON (Reuters) - Goldman Sachs Group Inc's metals warehousing unit is exploring its first foray into...,goldman Sachs Group Inc's metals warehousing unit is exploring its,0.0
2014-09-12,12,9,2014,77.91999816894531,0.04004271320502406,0.3182,0.3182,Japan's Mitsui may miss metals profit target on iron ore slump,By James Topham and Yuka Obayashi TOKYO (Reuters) - Japanese trading house Mitsui & Co (T:8031) may miss the current year's profit target of $1.1 billion for its metals...,Japanese trading house may miss the current year's profit target of $1.1 billion for its metal,0.0
2014-10-21,21,10,2014,76.94999694824219,-0.012448681256382765,-0.2247,-0.6249,More lawsuits filed against Honda Takata over air bags,By Ben Klayman DETROIT (Reuters) - The recall crisis involving Takata-made air bags exploding with too much force and spraying vehicle occupants with metal shrapnel is growing...,recall crisis involving Takata-made air bags exploding with too much force,1.0
2014-11-26,26,11,2014,75.62999725341797,-0.01715399281577712,-0.4767,0.0,Goldman BASF HSBC accused of metals price fixing: U.S. lawsuit,By Jonathan Stempel NEW YORK (Reuters) - Goldman Sachs Group Inc (N:GS) Germany's BASF SE (DE:BASFn) and two other big platinum and palladium dealers have been sued in the United...,goldman Sachs Group Inc (DE:BASFn) and two other big platinum and,1.0
2014-12-11,11,12,2014,76.18000030517578,0.007272287078298856,-0.0772,0.2732,Newedge metal energy traders leave as SocGen cuts headcount,NEW YORK (Reuters) - Societe Generale's (PA:SOGN) senior base metals trader Mike Turek and Natasha Flora an energy trader left the bank in New York on Thursday as part...,Mike Turek and Natasha Flora left the bank in new york on friday,1.0
2014-12-19,19,12,2014,78.4000015258789,0.029141522864398084,0.0,0.5574,Australia stocks higher at close of trade,Investing.com Â Australia stocks were higher after the close on Friday as gains in the Industrials Metals & Mining and Materials sectors led shares higher. At the...,stocks were higher after the close on friday as gains in the industries led shares higher .,1.0
2014-12-22,22,12,2014,79.87999725341797,0.018877496157325035,0.4215,0.8126,United Kingdom stocks higher at close of trade,Investing.com Â United Kingdom stocks were higher after the close on Monday as gains in the Industrial Metals & Mining Fixed Line Telecommunications and Health Care Equipment &...,stocks were higher after the close on Monday as gains in the Industrial Metals & Mining Fixed,1.0
2014-12-23,23,12,2014,81.44999694824219,0.01965447857795266,0.1531,0.0772,Australia stocks lower at close of trade | United Kingdom stocks higher at close of trade,Investing.com Â Australia stocks were lower after the close on Tuesday as losses in the Gold Metals & Mining and Resources sectors led shares lower. At the close in Sydney the... | Investing.com Â United Kingdom stocks were higher after the close on Tuesday as gains in the Industrial Metals & Mining Construction & Materials and Oil Equipment Services &...,Investing.com  stocks were lower after the close on Tuesday as losses in the gold metals & mining and Resources sectors led,0.0
2014-12-29,29,12,2014,80.77999877929688,-0.0082258832909603,0.0,0.5574,Australia stocks higher at close of trade,Investing.com Â Australia stocks were higher after the close on Monday as gains in the Gold Metals & Mining and Materials sectors led shares higher. At the close in Sydney the...,stocks in the gold metals & mining and Materials sectors were higher after the close on Monday,0.0
2015-01-02,2,1,2015,78.0199966430664,-0.03416689994971667,0.1531,-0.2732,United Kingdom stocks lower at close of trade,Investing.com Â United Kingdom stocks were lower after the close on Friday as losses in the Industrial Metals & Mining Beverages and Electronic & Electrical Equipment sectors led...,stocks in the industrial metals & mining beverages and electronic & electrical equipment sectors,0.0
2015-01-05,5,1,2015,78.44999694824219,0.0055114114800978165,0.1531,-0.2732,United Kingdom stocks lower at close of trade,Investing.com Â United Kingdom stocks were lower after the close on Monday as losses in the Oil Equipment Services & Distribution Industrial Metals & Mining and Oil & Gas...,stocks in the oil equipment services & distribution industrial metals & mining and oil &,0.0
2015-01-06,6,1,2015,77.19000244140625,-0.01606111607202776,-0.296,-0.4215,Australia stocks lower at close of trade,Investing.com Â Australia stocks were lower after the close on Tuesday as losses in the Energy Resources and Metals & Mining sectors led shares lower. At the close in Sydney...,losses in the Energy Resources and Metals & Mining sectors led shares lower . at the,0.0
2015-01-07,7,1,2015,76.1500015258789,-0.013473259264589199,0.0,0.34,U.K. stocks higher at close of trade,Investing.com Â U.K. stocks were higher after the close on Wednesday as gains in the Technology Hardware & Equipment Industrial Metals & Mining and Gas Water & Multiutilities...,stocks were higher after the close on Wednesday as gains in the Technology Hardware & Equipment Industrial Metal,1.0
2015-01-09,9,1,2015,78.18000030517578,0.026657895451348113,-0.296,-0.5994,U.K. stocks lower at close of trade,Investing.com Â U.K. stocks were lower after the close on Friday as losses in the Food & Drug Retailers Industrial Metals & Mining and Technology Hardware & Equipment sectors led...,stocks were lower after the close on friday as losses in the food & drug retailers,0.0
2015-01-12,12,1,2015,77.73999786376953,-0.005628069067391883,-0.296,-0.4215,Australia stocks lower at close of trade,Investing.com Â Australia stocks were lower after the close on Monday as losses in the Energy Resources and Metals & Mining sectors led shares lower. At the close in Sydney the...,losses in the energy resources and metals & mining sectors led shares lower . at the,0.0
2015-01-13,13,1,2015,76.72000122070312,-0.013120615784603329,-0.296,-0.4215,Australia stocks lower at close of trade,Investing.com Â Australia stocks were lower after the close on Tuesday as losses in the Energy Resources and Metals & Mining sectors led shares lower. At the close in Sydney...,losses in the Energy Resources and Metals & Mining sectors led shares lower . at the,0.0
2015-01-14,14,1,2015,76.44999694824219,-0.0035193465610643404,-0.296,-0.5994,Australia stocks lower at close of trade,Investing.com Â Australia stocks were lower after the close on Wednesday as losses in the Gold Metals & Mining and Materials sectors led shares lower. At the close in Sydney...,losses in the gold metals & mining and Materials sectors led shares lower . at the,0.0
2015-01-15,15,1,2015,76.27999877929688,-0.00222365174272543,-0.296,-0.5994,Australia stocks lower at close of trade,Investing.com Â Australia stocks were lower after the close on Thursday as losses in the Metals & Mining Materials and Resources sectors led shares lower. At the close in...,losses in the Metals & Mining Materials and Resources sectors led shares lower .,0.0
