Date,day,month,year,Close Before,Before_change,SA_T,SA_S,Title,Content,summary,Label
2009-06-12,12,6,2009,22.82999992370605,0.0,0.0,-0.2235,UPDATE 1-Opera says Microsoft EU browser offer 'not enough',* Opera says browser move would not restore competition  * Says Microsoft's dominant position would prevail  * EU says never asked MSFT to ship OS without browsers  * EU will...,Opera says browser move would not restore competition * EU says never asked MSFT to ship OS without,1.0
2014-03-17,17,3,2014,37.70000076293945,0.6513360003909943,0.0,0.0,Nokia May Name Indian-Born CEO: Who Is Rajeev Suri?,By Palash Ghosh -Â Just a little over one month after Microsoft Corp. (NASDAQ: MSFT) selected Satya Nadella as its new chief executive officer another global tech giant is...,just a little over one month after Microsoft announced Satya Nadella as its new,1.0
2014-04-24,24,4,2014,39.68999862670898,0.052785088156437565,0.0,0.0516,Microsoft Beats Estimates Despite Sales Decline,By Reuters - Â Microsoft Corporation (NASDAQ:MSFT)Â said on Thursday fiscal third-quarter profit fell slightly as sales of personal computers continued to slide hurting its consumer..., Microsoft Corporation (NASDAQ:MSFT) said profit fell slightly as sales of personal,1.0
2014-04-28,28,4,2014,39.90999984741211,0.005542988871636956,-0.296,0.34,US Says Avoid Microsoft's Explorer Until Bug Fixed,By Reuters -Â The U.S. Department of Homeland Security advised computer users to consider using alternatives to Microsoft Corporation's (NASDAQ:MSFT) Internet Explorer browser until...,the u.s. department of homeland security advised computer users to consider using alternatives to Microsoft,1.0
2014-05-21,21,5,2014,39.68000030517578,-0.005762955227153199,0.0,0.4019,Microsoft Unveils Thinner Surface Pro 3 Tablet,By Kukil Bora -Â Microsoft Corporation (NASDAQ:MSFT) unveiled the Surface Pro 3 the companyÂs latest tablet model during a special media event in New York on Tuesday. The new...,the Surface Pro 3 is the company's latest tablet model . it was unveiled at,1.0
2014-05-29,29,5,2014,40.0099983215332,0.008316482203110764,0.0,0.0,Microsoft To Put Salesforce Apps Into Windows-Run Devices,By Reuters -Â Microsoft Corporation (NASDAQ:MSFT)Â said on Thursday it would integrate rival Salesforce.com Inc (NYSE:CRM) apps into its Windows and online Office platforms...,Microsoft Corporation (NASDAQ:MSFT) said it would integrate rival Salesforce.com apps into its,1.0
2014-06-11,11,6,2014,41.11000061035156,0.02749318507784948,-0.0772,0.0258,Microsoft Challenging U.S. Warrant Demanding Email Data Stored Abroad,By Greg Morcroft - Microsoft Corporation (NASDAQ:MSFT)Â is challenging the federal governmentÂs power to demand that the company turn over customersÂ email stored at an Irish data...,Microsoft is challenging the federal government's power to demand that the company turn over customers email,0.0
2014-07-17,17,7,2014,44.08000183105469,0.0722452244370746,-0.296,-0.25,Microsoft Expected To Announce Thousands Of Job Cuts On Thursday,By Reuters -Â Microsoft Corporation (NASDAQ:MSFT) is set to cut more than 6000 jobs in an announcement expected early Thursday according to sources familiar with the matter as it...,Microsoft Corporation (NASDAQ:MSFT) is set to cut more than 6000 jobs .,1.0
2014-08-04,4,8,2014,42.86000061035156,-0.027676977541403525,0.0,0.0,China regulator says Microsoft should not obstruct anti-trust probe,BEIJING (Reuters) - Microsoft Corp (O:MSFT) should not obstruct an anti-trust investigation by Chinese regulators the State Administration for Industry and Commerce (SAIC) said...,Microsoft should not obstruct an anti-trust investigation by Chinese regulators the state administration,1.0
2014-08-08,8,8,2014,43.22999954223633,0.008632732772182905,-0.5106,-0.5267,Ex-Microsoft employee gets two years in prison for insider trades,SEATTLE (Reuters) - A former Microsoft Corp (O:MSFT) employee was sentenced to two years in prison on Friday for his part in an insider trading scheme that netted him and his...,a former Microsoft Corp employee was sentenced to two years in prison on friday .,0.0
2014-09-04,4,9,2014,44.959999084472656,0.04001849550208969,-0.296,-0.3612,Microsoft publishers try to stop 'catastrophic' Google EU deal,By Foo Yun Chee BRUSSELS (Reuters) - Google's (O:GOOGL) antitrust deal with EU regulators was criticized by Microsoft (O:MSFT) and other competitors in a last-ditch attempt to...,google's (O:GOOGL) antitrust deal with regulators was criticized,1.0
2014-09-16,16,9,2014,46.2400016784668,0.02846980916501396,0.3182,0.3182,Microsoft boosts dividend 11 percent adds new directors,SEATTLE (Reuters) - Microsoft Corp (O:MSFT) on Tuesday announced the smallest percentage increase in its quarterly dividend since 2009 and appointed new directors to replace two...,Microsoft announced the smallest percentage increase in its quarterly dividend since 2009 and appointed new directors to replace,1.0
2014-12-03,3,12,2014,48.459999084472656,0.04801032278162043,0.0,0.0,Microsoft ex-CEO Ballmer activist Jesse Jackson pep up annual meet,By Bill Rigby  BELLEVUE Wash. (Reuters) - Former Microsoft Corp (O:MSFT) Chief Executive Steve Ballmer and civil rights activist Jesse Jackson livened up the technology...,former chief executive Steve Ballmer and civil rights activist Jesse Jackson livened up the,1.0
