Date,day,month,year,Close Before,Before_change,SA_T,SA_S,Title,Content,summary,Label
2014-03-14,14,3,2014,64.20999908447266,0.0,-0.296,0.0,Motorola Takes Years-Long Legal Dispute To Hong Kong,By Sneha Shankar -Â Motorola (NYSE:MSI) has sued 12 defendants in a Hong Kong court including a fugitive Turkish family three Hong Kong-based companies and a British national...,Motorola (NYSE:MSI) has sued 12 defendants including a fugitive,1.0
2014-04-16,16,4,2014,63.369998931884766,-0.01308207700614994,0.1779,0.4215,Zebra Technologies To Buy Motorola Solutions' Enterprise Arm For $3.45B,By Sneha Shankar - Zebra Technologies Corp. NASDAQ:ZBRA agreed to buy Motorola Solutions Inc.Âs NYSE:MSI enterprise business for $3.45 billion in an all-cash transaction the...,NASDAQ:ZBRA agreed to buy Motorola Solutions Inc.s NYSE:MSI,0.0
2015-02-06,6,2,2015,64.0,0.009941629773300376,0.0,0.1779,Motorola exploring possible sale: Bloomberg,(Reuters) - Walkie-talkie and radio systems maker Motorola Solutions Inc (N:MSI) is looking into a possible sale Bloomberg reported citing people familiar with the matter....,walkie-talkie and radio systems maker Motorola Solutions Inc (N:MSI),1.0
2015-05-05,5,5,2015,60.68000030517578,-0.05187499523162842,-0.3182,-0.5106,US Jury Orders Motorola Mobility To Pay $10M In Fujifilm Lawsuit,By Reuters -  (Reuters) - Motorola (NYSE:MSI) Mobility said a U.S. jury ordered the company to pay $10.2 million in damages for using Fujifilm Corp's patented technology in its...,a jury ordered the company to pay $10.2 million in damages for using Fujifilm Corp',0.0
2015-11-04,4,11,2015,71.36000061035156,0.1760052777103367,0.5574,0.34,Motorola Solutions quarterly profit nearly doubles,(Reuters) - Motorola Solutions Inc (N:MSI) a maker walkie-talkies and radio systems reported a near-doubling in quarterly profit helped by lower costs and higher sales of its...,a maker walkie-talkies and radio systems reported a near-doubling in,0.0
2016-08-18,18,8,2016,75.68000030517578,0.0605381117975714,0.0516,0.6597,Lenovo Q1 leaps on asset sale; smartphone division posts loss,Investing.com Â ChinaÂs Lenovo Q1 net profit up 64% helped by asset sale.Mobile arm remains in red after Motorola (NYSE:MSI) acquisition as shipments fall.Q1 net profit...,Investing.com  Chinas Lenovo Q1 net profit up 64% helped,1.0
2016-11-10,10,11,2016,78.95999908447266,0.04334036424511689,0.1779,0.1779,IBM +2.75%; upgraded to Buy at Bank of America Merrill Lynch | Motorola Solutions closes on purchase of public-safety supplier Spillman,Analyst          Wamsi Mohan attributes stabilized earnings appealing dividend yield expected 2017 tailwinds resulting from restructuring and a more moderate rate of investment... | Motorola Solutions (MSI +0.5%) has closed on its acquisition of Spillman Technologies a supplier to law enforcement.    The companies came to a deal in late September with...,analyst wamsi Mohan attributes stabilized earnings appealing dividend yield expected 2017 tailwinds . Motorola Solutions has,1.0
2016-12-01,1,12,2016,80.25,0.016337397802490772,0.0,0.7096,'Tis the season to window shop in New York,By Alicia Powell NEW YORK (Reuters) - From a whimsical enchanted winter forest-scape to candy-laden backdrops for festive fashion New York department stores have spent a year...,new york department stores have spent a year crafting festive fashion . from a whimsical winter,0.0
2017-06-07,7,6,2017,87.45999908447266,0.08984422535168424,-0.0516,0.4588,ShotSpotter's shares shoot up in debut,(Reuters) - Shares of gunshot-detection company ShotSpotter Inc (O:SSTI) which is backed by walkie-talkie maker Motorola Solutions (N:MSI) rose as much as 21 percent in their...,shares of gunshot-detection company shotSpotter Inc rose as much as,0.0
2017-06-27,27,6,2017,88.41999816894531,0.010976436022431812,-0.7184,0.5859,Technology - Top Gainers / Losers as of 3:00 pm | Midday Gainers / Losers,Gainers: APDN +26%. SMSI +18%. AUO +11%. MRIN +11%. XPLR +6%.Losers: CAMT -16%. FNJN -13%. PI -11%. SYX -9%. ABIL -9%. Now read: Impinj Likely The Real Winner From Amazon... | Gainers: CBI +32%. MBRX +30%. APDN +20%. SMSI +15%. PQ +15%. CREG +14%. CFRX +14%. FCSC +13%. ASNA +13%. ZN +13%.Losers: ALDR -22%. RWLK -23%. XENE -20%. RARX -18%. SHLO -14%. CAMT...,APDN +26%. SMSI +18%. AUO +11%. FNJN -13%. PI,0.0
2017-07-27,27,7,2017,91.83999633789062,0.03867901198562196,-0.3818,0.0,Healthcare - Top 5 Gainers / Losers as of 11:00 am,Gainers: CAPR +34%. CERS +14%. MMSI +11%. NVGN +10%. MBRX +10%.Losers: IPCI -40%. CUR -29%. CYH -16%. AZN -15%. AGEN -11%.Now read: AstraZeneca: Pipeline WoesOriginal article,Gainers: CAPR +34%. CERS +14%. NVGN ,0.0
2017-10-04,4,10,2017,85.69000244140625,-0.06696422192633578,-0.3818,0.296,Technology - Top Gainers / Losers as of 2:55 pm,Gainers: DYSL +18%. MTBC +17%. I +16%. VNET +14%. SMSI +12%.Losers: SQNS -37%. SHOP -11%. VERI -11%. IDT -9%. VJET -7%. Now read: Intelsat And Intel (NASDAQ:INTC) Join Forces To...,"DYSL +18%, MTBC +16%, VNET +14%",1.0
2017-10-05,5,10,2017,85.63999938964844,-0.0005835342552592548,-0.3818,0.0,Technology - Top Gainers / Losers as of 2:55 pm,Gainers: NETE +20%. HMNY +19%. SMSI +15%. SCON +14%. CBAK +14%.Losers: STRM -37%. MTBC -18%. NPTN -13%. IDN -12%. TEUM -9%. Now read: Superconductor Technologies (SCON) Presents At...,HMNY +19%. SMSI +15%. SCON +14%.,1.0
2017-10-09,9,10,2017,89.44000244140625,0.0443718248346594,-0.3818,0.34,Technology - Top Gainers / Losers as of 2:55 pm,Gainers: HMNY +37%. SMSI +20%. LEDS +17%. CCIH +17%. INTT +15%.Losers: GRVY -12%. NETE -12%. LOV -10%. PTI -9%. IZEA -8%. Now read: Can Movie Theaters Unlock Value? Rewards...,Gainers: HMNY +37%. SMSI +20%. LEDS +,0.0
2017-10-26,26,10,2017,90.05000305175781,0.006820221307028529,-0.3818,0.0,Technology - Top Gainers / Losers as of 2:50 pm,Gainers: TWTR +19%. OPNT +13%. STM +11%. SMSI +10%. SITO +10%.Losers: I -25%. UCTT -20%. NOK -20%. SMIT -11%. NPTN -9%. QSII -8%. Now read: Throwback Thursday: Nokia (HE:NOKIA)...,Gainers: TWTR +19%. OPNT +13%. SMSI,1.0
