Date,day,month,year,Close Before,Before_change,SA_T,SA_S,Title,Content,summary,Label
2014-04-21,21,4,2014,49.39142990112305,0.0,0.0,0.4404,Netflix US Streaming Business Grows Plans Price Hike,By Reuters - (Reuters) - Video streaming service Netflix Inc (NASDAQ:NFLX) reported higher profit that beat Wall Street expectations and said it intends to raise the monthly...,Netflix Inc (NASDAQ:NFLX) reported higher profit that beat Wall Street expectations .,1.0
2015-04-10,10,4,2015,62.78571319580078,0.27118638438878606,0.0,0.0,Netflix experiences large option volume as CEO's compensation soars,Investing.com -- Netflix (NASDAQ:NFLX) reportedly experienced an unusually large volume of option trading on Friday as investors purchased nearly three times the amount of average...,Netflix (NASDAQ:NFLX) reportedly experienced an unusually large volume of option trading,1.0
2015-04-15,15,4,2015,68.38714599609375,0.08921508596748096,0.296,0.4215,Netflix beats forecasts with 62 million streaming subscribers | Shares in Netflix soar more than 10% as international viewership spikes,By Lisa Richwine (Reuters) - Video streaming pioneer Netflix Inc (NASDAQ:NFLX) added more subscribers than projected in the United States and abroad during the first quarter news... | Investing.com -- Shares in Netflix (NASDAQ:NFLX) soared more than 10% in after-hours trading as a spike in international membership offset lower than expected earnings. Neflix...,shares in Netflix (NASDAQ:NFLX) soared more than 10% in after-hours trading .,1.0
2015-06-09,9,6,2015,89.60428619384766,0.31025041166311906,0.5423,0.765,Netflix investors approve share increase company to pursue stock split,LOS ANGELES (Reuters) - Netflix Inc (O:NFLX) shareholders on Tuesday approved a massive increase in the number of shares the company is authorized to issue the first step toward...,Netflix Inc (O:NFLX) shareholders approve a massive increase in the number of,1.0
2015-06-23,23,6,2015,96.4142837524414,0.0760008013886877,0.4019,0.4215,Netflix board approves a seven-for-one stock split,(Reuters) - Netflix Inc (O:NFLX) said on Tuesday its board of directors approved a seven-for-one stock split. The split will be effected in the form of a stock dividend of six...,the split will be effected in the form of a stock dividend of six .,1.0
2015-07-15,15,7,2015,100.37142944335938,0.04104314772568918,0.8316,0.7351,Netflix shares soar 10% after int'l subscribers help boost 2Q earnings | Netflix subscriptions far outpace expectations shares up 9 percent,Investing.com -- Shares in Netflix Inc (NASDAQ:NFLX) skyrocketed more than 10% in after-hours trading after the popular American provider of on-demand internet streaming media saw... | By Lisa Richwine and Anya George Tharakan (Reuters) - Netflix Inc (O:NFLX) added nearly a third more subscribers than expected in the second quarter sending its shares up 9.4...,shares in Netflix Inc (NASDAQ:NFLX) skyrocketed more than 10% in after-hours trading .,1.0
2015-10-15,15,10,2015,110.2300033569336,0.09822091772776353,-0.4404,-0.1027,Netflix's weak subscriber additions at odds with lofty valuation,(Reuters) - Investors questioned Netflix (O:NFLX) Inc's premium valuation after the video-streaming service reported U.S. subscriber additions below its own expectations a...,investors questioned Netflix (O:NFLX) Inc's premium valuation . the,0.0
2015-11-05,5,11,2015,114.0500030517578,0.03465480884051808,-0.4939,-0.4404,Facebook set to steal more TV ad dollars as video views soar,By Tenzin Pema and Abhirup Roy (Reuters) - Watch out  Time Warner  (N:TWX). It's not just Netflix (O:NFLX) and Hulu you have to worry about. Along with Facebook's...,Netflix (O:NFLX) and Hulu have to worry about . it,1.0
2016-01-20,20,1,2016,107.88999938964844,-0.054011429173867254,0.296,0.4767,Netflix global push grabs more customers than expected; shares jump,By Lisa Richwine (Reuters) - Netflix Inc's (O:NFLX) aggressive push into international markets won more customers than the video streaming service and its investors expected...,Netflix Inc's (O:NFLX) aggressive push into international markets won more customers,0.0
2016-02-05,5,2,2016,89.70999908447266,-0.1685049625361298,0.4215,0.7964,Tiger Global still likes Internet names gets pointers from Jeter,By Svea Herbst-Bayliss BOSTON (Reuters) - Tiger Global Management still likes Amazon (O:AMZN) Netflix (O:NFLX) and JD.com (O:JD) which fueled last year's positive returns...,Tiger Global Management still likes Amazon (O:AMZN) and JD.com,0.0
