Date,day,month,year,Close Before,Before_change,SA_T,SA_S,Title,Content,summary,Label
2018-09-13,13,9,2018,6.599999904632568,0.0,-0.1027,-0.7269,EuropeÂs Bankers Are the Big Post-Lehman Losers | Ryanair cabin crew to strike September 28 in five countries: union spokesman | Standard Chartered to part ways with three senior Asia bankers in coverage revamp: sources | Key Energy terminates COO Brunnert | Three Italy cabin crew unions reach labor agreement with Ryanair | Ryanair faces one-day strike in five countries over contracts | Bangladesh raises wages for garment workers | VW's Skoda unions object to renewed talks on production moves | Carney warns on no-Brexit deal,"(Bloomberg Opinion) -- Bloomberg Opinion marks the 10th anniversary of LehmanÂsÂ bankruptcy with a collection of columns from around the world. Read more.To see how EuropeÂs banking... | BRUSSELS (Reuters) - Seven Ryanair cabin crew unions from five countries will hold a 24-hour strike on Sept. 28 a Belgian union spokesman said on Thursday. ""The strike will be... | By Sumeet Chatterjee HONG KONG (Reuters) -  Standard Chartered  (LON:STAN) is parting ways with three senior Asia-focused bankers and possibly with some mid- and junior-level... | Key Energy Services (NYSE:KEG) terminates COO David Brunnert according to an SEC filing with no explanation provided.     Brunnert joined KEG as COO and Senior VP in November... | ROME (Reuters) - Unions representing three of Ryanair's (I:RYA) Italy-based cabin crews said on Thursday they had reached an agreement in principle for a three-year... | By Robin Emmott and Padraic Halpin BRUSSELS/DUBLIN (Reuters) - Ryanair faces a one-day walkout by cabin crew across five countries on Sept. 28 as unions step up pressure on... | DHAKA (Reuters) - The minimum wage for garment workers in Bangladesh will rise by 51 percent from December the junior minister for labour and employment said on Thursday. The new... | PRAGUE (Reuters) - Trade unions at Volkswagen's (DE:VOWG_p) Czech unit Skoda Auto on Thursday rejected any idea of moving some of the production of its premium sedan model... | Bank of England Governor Mark Carney warned senior government ministers of spiraling interest rates and a 35% crash in home prices should Brexit take place without a deal. The...","seven cabin crew unions from five countries will hold a 24-hour strike on sept. 28 . ""the strike will be... | By Sumeet Chatterjee HONG KONG (Reuters) - Standard Chartered is parting ways with three senior Asia-focused bankers . Brunnert joined KEG as COO and Senior VP in November .",1.0
2018-09-14,14,9,2018,11.600000381469728,0.7575758407704882,0.3182,0.7964,Yes the Tax Cuts Have Cost the U.S. Treasury Money,(Bloomberg Opinion) -- Wow do we really have to go through this again? HereÂs Brian Wesbury chief economist at First Trust Advisors LP in Wheaton Illinois and a long-time...,Brian Wesbury chief economist at First Trust Advisors LP in Wheaton . ,0.0
2018-09-17,17,9,2018,9.899999618530272,-0.14655178508917133,0.0772,0.9423,Hong Kong Should Cut Stock-Trading Taxes | Goldman Sachs BDC amends revolving to reduce asset coverage requirement | The S&P 500 Has a Tangible Net Worth Problem | Deutsche Bank to move assets from London to Frankfurt after Brexit | HSBC appoints Antonio Simoes as new global private bank head,(Bloomberg Opinion) -- The Hong Kong Stock Exchange is poised to lead the world in IPOs. In the past eight months the city hosted 132 initial offerings to raise a total of $23.8... | Goldman Sachs (NYSE:GS) BDC (NYSE:GSBD) amends its senior secured revolving credit agreement to reduce the company's minimum asset coverage ratio financial covenant to 150% from... | (Bloomberg Opinion) -- When third-quarter earnings reports comeÂ out in a few weeks theÂ bottom lines of companies in the S&P 500 areÂ expected to be up an averageÂ of nearly 20... | FRANKFURT (Reuters) -  Deutsche Bank  (DE:DBKGn) said on Monday it would move assets from London to Frankfurt after Britain's planned exit from the European Union next year... | LONDON (Reuters) - HSBC (L:HSBA) has appointed Antonio Simoes as its head of global private banking succeeding Peter Boyles who is leaving the bank. The change will become...,the Hong Kong Stock Exchange is poised to lead the world in IPOs . in the past eight months the city hosted 132 initial offerings to raise a total of $23.8... | goldman Sachs (NYSE:GS) BDC amends its senior secured revolving credit agreement to reduce the company's minimum asset coverage ratio financial,0.0
2018-09-18,18,9,2018,8.5,-0.14141410833085588,0.4939,0.7184,Ryanair aims for union agreement in Germany before Christmas,COLOGNE Germany (Reuters) - Budget airline Ryanair (I:RYA) hopes to find an agreement with German unions before Christmas Chief Marketing Officer Kenny Jacobs said on Tuesday...,budget airline Ryanair (I:RYA) hopes to find an agreement with german unions,0.0
2018-09-19,19,9,2018,7.679999828338623,-0.09647060843075028,-0.5719,-0.6249,McDonald's Tax Probe Said to Be Ended by European Union | Belgian union rejects Ryanair offer ahead of planned strike,(Bloomberg) -- The European Union has ended its state aid probe over McDonaldÂs Corp.'s (NYSE:MCD) controversial tax affairs with Luxembourg according to three people... | By Daphne Psaledakis BRUSSELS (Reuters) - The union representing Ryanair (I:RYA) cabin crew in Belgium has rejected an offer from the Irish airline ahead of a planned one-day...,the eu has ended its state aid probe over McDonalds Corp.'s tax affairs . the union representing,1.0
2018-09-20,20,9,2018,8.5,0.10677085807158981,0.128,0.0,Exclusive: Lloyds Banking Group to locate third EU subsidiary in Luxembourg - source,By Sinead Cruise and Lawrence White LONDON (Reuters) - Lloyds Bank (L:LLOY) is looking to set up a third European Union subsidiary in Luxembourg to serve longstanding life...,Lloyds Bank is looking to set up a third European Union subsidiary in Luxembourg to serve long,1.0
2018-09-21,21,9,2018,8.779999732971191,0.03294114505543422,-0.128,0.5574,North Sea oil workers to vote on possible strike action | Peru stocks higher at close of trade; S&P Lima General up 0.60%,The U.K.Âs largest labor union Unite says its  ~2500 members working on 106 North Sea oil platforms covered by the Offshore Contractors Association will vote on a possible... | Investing.com Â Peru stocks were higher after the close on Friday as gains in the S&P Lima Juniors Mining and Industrials sectors led shares higher. At the close in Lima the...,unite says its 2500 members working on 106 North Sea oil platforms will vote on a possible... | Investing.,0.0
2018-09-24,24,9,2018,8.59000015258789,-0.021640043981983603,0.5106,0.8986,Charah Solutions completes refinancing of term loan and revolving credit facility | U.S. EU still in 'exploratory' talks on trade: EU's Malmstrom,Charah Solutions (CHRA +4%) announced a new $280M senior credit facility maturing on September 21 2023 which includes a refinancing of its $205M term loan.An upsizing of revolver... | By David Lawder UNITED NATIONS (Reuters) - The European Union and the United States are still in exploratory talks about how they can pursue a limited trade agreement with no...,Charah Solutions (CHRA +4%) announced a new $280M senior credit facility maturing on September 21 2023 ,0.0
2018-09-25,25,9,2018,7.869999885559082,-0.08381842307789666,-0.1027,-0.3182,Ryanair not informing passengers about strike Belgian union says | Ryanair says it may trim expansion plans due to strikes | Bond Investors Steer Clear of the FedÂs Steamroller,"By Daphne Psaledakis BRUSSELS (Reuters) - A Belgian trade union warned on Tuesday that Ryanair (I:RYA) is ""playing with fire"" in its handling of a planned cabin crew... | By Conor Humphries DUBLIN (Reuters) - Ryanair (I:RYA) will consider cutting its growth plans for this winter and next summer if staff strikes continue a senior executive said on... | (Bloomberg Opinion) -- The U.S. Treasury auctioned two- and five-year notes this week that offered the highest yields in a decade. And yet buyers balked. The $37 billion two-year...","a belgian trade union warns that Ryanair is ""playing with fire"" in its handling of a planned cabin crew . the u.s. Treasury auctioned two- and",0.0
2018-09-26,26,9,2018,7.579999923706055,-0.03684878857306695,0.1531,0.6369,U.S. union seeks raises three-year contract for refinery workers | Peru stocks higher at close of trade; S&P Lima General up 0.09% | Talks on Air India bailout package at 'advanced stage':  official,"By Erwin Seba SAN DIEGO (Reuters) - Union officials representing 30000 workers at U.S. oil refineries and chemical plants on Wednesday said they will pursue sizable wage... | Investing.com Â Peru stocks were higher after the close on Wednesday as gains in the S&P Lima Juniors Non-Metal Minerals and Mining sectors led shares higher. At the close in... | NEW DELHI (Reuters) - Discussions on a bailout package for embattled state-run carrier Air India are at an ""advanced stage"" the country's junior aviation minister...",union officials representing 30000 workers at u.s. oil refineries and chemical plants say they will pursue sizable wage . shares in the S&P Lima Juniors Non-Met,0.0
2018-09-27,27,9,2018,7.5,-0.010554079750826784,-0.7184,0.296,Ryanair to set up French hubs as German pilots join strike | Unions accuse IKEA of undermining workers' rights in three markets | J.C. Penney CFO Jeffrey Davis to step down | Samsung board chairman to stay in role after indictment for alleged union sabotage,BERLIN/DUBLIN (Reuters) - Ryanair (I:RYA) said on Thursday it would invest $400 million on establishing hubs for its planes at two French airports returning to heavily unionized... | STOCKHOLM (Reuters) - Unions accused furniture retailer IKEA on Thursday of undermining workers' rights in the United States Ireland and Portugal and asked the Dutch... | (Reuters) - Department store operator J.C. Penney Co Inc (N:JCP) said on Thursday its Chief Financial Officer Jeffrey Davis plans to step down effective Oct. 1. Senior Vice... | SEOUL (Reuters) - Samsung Electronics Co Ltd's (KS:005930) said on Friday its chairman of the board Lee Sang-hoon will continue in his role despite an indictment for...,BERLIN/DUBLIN (Reuters) - Ryanair (I:RYA) said on Thursday it would invest $400 million on establishing hubs for its planes at two french airports returning to heavily unionized . unions accused furniture retailer,0.0
2018-09-28,28,9,2018,7.010000228881836,-0.06533330281575522,0.0,0.5574,Peru stocks higher at close of trade; S&P Lima General up 0.14%,Investing.com Â Peru stocks were higher after the close on Friday as gains in the S&P Lima Juniors Mining and Food & Beverages sectors led shares higher. At the close in Lima...,shares in the S&P Lima Juniors mining and food & beverages sectors,0.0
2018-10-01,1,10,2018,6.980000019073486,-0.004279630360744635,0.0,0.5574,Peru stocks higher at close of trade; S&P Lima General up 0.03%,Investing.com Â Peru stocks were higher after the close on Monday as gains in the S&P Lima Juniors Banking & Financials and Food & Beverages sectors led shares higher. At the...,gains in the S&P Lima Juniors banking & financials and food &,0.0
