Date,day,month,year,Close Before,Before_change,SA_T,SA_S,Title,Content,summary,Label
2016-11-11,11,11,2016,1.694249987602234,0.0,0.296,-0.1027,Barclays Pacific Crest Securities sidelined on Nvidia amid 26% run,"Though upgrading Nvidia (NASDAQ:NVDA) from Underweight on admittance  Barclays  (LON:BARC) had          ""been clearly on the wrong side of this one all year"" analyst Blayne Curtis...",upgrading Nvidia (NASDAQ:NVDA) from Underweight on admittance barc,1.0
2016-11-14,14,11,2016,2.1992499828338623,0.29806699066076026,0.0,0.7845,Nvidia set with $100 target at Needham & Company,Despite opening the week 3% lower Nvidia (NASDAQ:NVDA) shares remain higher by 20%+ since reporting strong Q3 earnings and positive Q4 outlook last Thursday.On the report and...,despite opening the week 3% lower shares remain higher by 20%+ since reporting strong Q3,0.0
2016-11-15,15,11,2016,2.0910000801086426,-0.049221281605164924,0.0,0.0,Nvidia Microsoft collaborating on enterprise AI,"Through a framework designed to run on Nvidia Tesla (NASDAQ:TSLA) GPUs (NVDA +4%) in Microsoft Azure (MSFT +2.1%) or on-premises.Nvidia founder and CEO Jen-Hsun Huang: ""Every...",a framework designed to run on Nvidia Tesla GPUs (NVDA +4%),1.0
2016-11-16,16,11,2016,2.154750108718872,0.030487817392583327,0.7096,0.25,MKM Partners estimates artificial intelligence a $15B+ silicon opportunity by 2025,In a note on the hypothesis analyst Ian Ing spotlights advantage for Nvidia's (NVDA +6.2%) GPUs Intel's (INTC -0.5%) and Xilinx's (XLNX -0.4%) field-programmable gate arrays as...,Ian Ing highlights advantage for Nvidia's (NVDA +6.2%) GPUs,1.0
2016-12-23,23,12,2016,2.6777501106262207,0.24271956167497466,0.2023,0.2023,RBC's top big tech picks for 2017: AAPL AVGO NVDA CSCO TXN,Apple (AAPL +0.2%) is an unsurprising name among top tech picks for 2017 from RBC Capital Markets and it joins Broadcom (AVGO +0.7%) Nvidia (NVDA +2.5%) Cisco Systems (CSCO...,apple (AAPL +0.2%) joins Broadcom (AVGO +0.7%) Nv,1.0
2017-04-04,4,4,2017,2.7095000743865967,0.011856955447179907,-0.296,-0.25,Nvidia -3% as Pacific Crest cuts to Underweight | Nvidia -6% as Pacific Crest drops to Underweight,Nvidia (NASDAQ:NVDA) -2.9% premarket after Pacific Crest downgrades shares to Underweight from Sector Weight citing concerns that it may have captured so much of the available... | Nvidia (NASDAQ:NVDA) is off 6% to a three-week low after a Pacific Crest downgrade to Underweight from Sector Weight.    The firm cut its EPS estimates for fiscal 2018 to $2.50...,Nvidia (NASDAQ:NVDA) is off 6% to a three-week low after a Pacific Crest downgrade,0.0
2017-04-05,5,4,2017,2.5195000171661377,-0.07012365824107725,0.0,0.1326,Nvidia adding on as Citi says gaming-market concerns 'misleading',Nvidia (NVDA +0.8%) is slightly up in calm but relatively heavy trading today in a rebound from yesterday's 7% drop-off spurred by Pacific Crest's downgrade.    Pac Crest moved to...,Nvidia (NVDA +0.8%) is slightly up in calm but relatively heavy trading today,0.0
2017-04-10,10,4,2017,2.508249998092652,-0.004465179200966896,0.0,0.0,Nvidia -1.6% as BMO sees steeper graphics card decline,Nvidia (NASDAQ:NVDA) is off 1.6% as BMO Capital Markets notes its manufacturer checks show graphics cards dropping 16% Q/Q in calendar Q1 a steeper decline than the 6% average.   ...,graphics cards drop 16% Q/Q in calendar Q1 a steeper decline than the,0.0
2017-05-09,9,5,2017,2.5692501068115234,0.02431978820502656,0.0,0.4215,Nvidia beats by $0.18 beats on revenue | Nvidia's data center business powers revenue beat,Nvidia (NASDAQ:NVDA): Q1 EPS of $0.85 beats by $0.18.Revenue of $1.94B (+49.2% Y/Y) beats by $30M.Shares +3.2%.Press ReleaseNow read: Where Does Nvidia Go From Here?Original... | By Narottam Medhora (Reuters) -  Nvidia Corp  (O:NVDA) reported a better-than-expected 48.4 percent jump in quarterly revenue helped by strong demand for its chips that are used...,Nvidia (NASDAQ:NVDA) reported a better-than-expected 48.4 percent jump in quarterly revenue,1.0
2017-05-10,10,5,2017,2.573499917984009,0.0016541056712300328,-0.3818,0.0772,Premarket Gainers as of 9:05 am | Technology - Top Gainers / Losers as of 3:00 pm,PRTO +42%.MTBC +19%.CROX +15%.MNKD +14%.HPJ +13%.NVDA +13%.MYSZ +13%.INCR +12%.ARRY +12%.ANF +11%.ONCS +11%.ICON +10%.ATHX +8%.EA +8%.COTY +7%.NAK +8%.IPXL +7%.AAXN +7%.IAG... | Gainers: MTBC +46%. NVDA +16%. INPX +16%. COHR +15%. ESIO +14%.Losers: YELP -18%. PCTI -18%. OIIM -16%. SSNI -15%. MATR -13%. Now read: Market Challenge: Nvidia DeliversOriginal...,PRTO +42%.MTBC +19%.CROX +15%.HPJ ,1.0
