Date,day,month,year,Close Before,Before_change,SA_T,SA_S,Title,Content,summary,Label
2009-07-09,9,7,2009,57.071720123291016,0.0,0.0,0.1779,ANALYSIS-Oil traders slip past U.S. rules via London loophole,* Tougher U.S. regulation pushes traders away from NYMEX  * Gas oil used as proxy heating oil futures   By Emma Farge and David Sheppard  LONDON July 9 (Reuters) - Oil traders...,u.s. regulation pushes traders away from NYMEX * Gas oil used,1.0
2010-11-30,30,11,2010,85.24830627441406,0.49370486977181827,0.4767,0.694,UPDATE 1-EU gives conditional approval to BASF buy of Cognis,* EU OK conditional on sale of hydroxy monomers business  * BASF- sales were below 100 million eur in that business  * BASF- China regulator also approved Cognis acquisition  *...,hydroxy monomers sales were below 100 million eur in that business .,1.0
2011-02-10,10,2,2011,93.17147064208984,0.0929421910409709,0.34,0.7845,MIDEAST MARKETS WEEKAHEAD-Telecoms offer cheaper macro play,* Telecoms seen as proxy for domestic growth  * Long-tern investors still keen on fundamentals  * Oman Qatar and Suadi Arabia are popular    By Matt Smith  DUBAI Feb 10...,* Telecoms seen as proxy for domestic growth * Long-tern investors still keen on fundamental,1.0
2011-04-05,5,4,2011,99.17852020263672,0.0644730572475607,0.0,0.0,PREVIEW-US SEC to court to defend shareholder nominations,* SEC will face business groups in court Thursday  * Two of the judges have ruled against the SEC in the past  * Business groups say proxy rule lacks cost-benefit rigor  By Sarah...,business groups say proxy rule lacks cost-benefit rigor by Sarah .,0.0
2011-04-07,7,4,2011,96.80252838134766,-0.02395671780980957,-0.1027,-0.6369,UPDATE 5-JPMorgan CEO Dimon's pay jumps to $20.8 mln | Update 1-Judges grill U.S. SEC over proxy access costs,* Dimon's compensation leaps from 2009's $1.3 mln 	  * Dimon says mortgage losses to remain elevated   	  (Updates with additional details from proxy statement)	  By Clare... | * Business groups say SEC failed to assess rule's costs  * Doubts about agency's estimates for contested elections  * Ginsburg questions benefit to shareholder democracy  (Adds...,business groups say SEC failed to assess rule's costs * Ginsburg questions benefit to shareholder democracy .,1.0
2014-04-10,10,4,2014,91.94515228271484,-0.05017819451468741,-0.3818,-0.3818,EBay Icahn End Proxy Fight,By Reuters - NEW YORK (Reuters) - EBay Inc. andÂ Carl IcahnÂ have ended their proxy fight with the activist investor dropping his proposal that the e-commerce company split off...,EBay Inc. and Carl Icahn have ended their proxy fight,0.0
2015-01-29,29,1,2015,76.36994934082031,-0.16939667350817555,-0.5859,0.0,Conoco Occidental and Shell cut 2015 budgets on crude slide | Occidental CEO jokes Chevron is an unsuitable buyer; lifts stock,By Anna Driver and Ernest Scheyder HOUSTON/WILLISTON N.D. (Reuters) - ConocoPhillips (N:COP) and Occidental Petroleum Corp (N:OXY) on Thursday slashed exploration spending plans... | By Ernest Scheyder WILLISTON N.D. (Reuters) - Occidental Petroleum Corp (N:OXY) Chief Executive Stephen Chazen quipped on Thursday that his larger rival Chevron Corp (N:CVX) was...,conocoPhillips and Occidental Petroleum Corp (N:OXY) on Thursday sla,1.0
2015-02-17,17,2,2015,82.96871185302734,0.08640522311673116,-0.7506,-0.4404,DuPont strikes back at Peltz as proxy war heats up,By Swetha Gopinath (Reuters) - DuPont (N:DD) hit back at activist investor Nelson Peltz's criticism of the company's performance pointing out that its shareholder...,duPont (N:DD) hit back at activist investor Nelson Peltz's,0.0
2015-02-25,25,2,2015,79.61442565917969,-0.04042832676237662,0.3182,0.6705,Citigroup to be latest to embrace proxy reform for shareholders,By Ross Kerber BOSTON (Reuters) - Citigroup Inc (N:C) said it will support a rule change to make it easier for shareholders to nominate directors making it the latest large...,Citigroup Inc will support a rule change to make it easier for shareholders to nominate directors,0.0
2015-03-09,9,3,2015,74.64289093017578,-0.06244514970548787,-0.0772,-0.5267,GM plans $5 billion share buyback agrees deal to avert proxy fight,By Joe White DETROIT (Reuters) - General Motors Co (NYSE:GM). said Monday it would launch a $5 billion share buyback in an effort to avert a proxy war with dissident investors...,general motors said it would launch a $5 billion share buyback in an effort to ,0.0
2015-03-23,23,3,2015,72.59637451171875,-0.02741743242998762,0.0,-0.5994,DuPont investors to vote on Trian demands on May 13,(Reuters) - DuPont embroiled in a proxy war with activist investor Trian Fund Management LP for board seats said it would hold its annual shareholder meeting on May 13. Trian is...,duPont embroiled in a proxy war with activist investor Trian Fund Management ,0.0
2015-03-24,24,3,2015,72.73613739013672,0.0019252046587452387,0.0,0.296,SEC's White says 'closely monitoring' proxy access efforts,By Sarah N. Lynch WASHINGTON (Reuters) - Securities and Exchange Commission Chair Mary Jo White told lawmakers on Tuesday the agency would not try anew to craft rules to make it...,the agency would not try anew to craft rules to make it . the agency will,1.0
2015-03-30,30,3,2015,72.59637451171875,-0.0019215053676595595,0.128,-0.296,Exclusive: Fidelity moves to end DuPont proxy battle-sources,By Nadia Damouni and Mike Stone NEW YORK (Reuters) - Fidelity Investments a major investor in DuPont (N:DD) has put pressure on activist fund Trian Fund Management LP and the...,a major investor in duPont has put pressure on activist fund Trian Fund Management ,1.0
2015-04-21,21,4,2015,80.23336791992188,0.10519800003194835,0.0,-0.743,Safran faces AGM heat as revolt over French Florange law widens,By Tim Hepher PARIS (Reuters) - Proxy advisory firms are threatening to block key financial resolutions at French aerospace group  Safran  (PA:SAF) opening a second front in a...,french aerospace group Safran (PA:SAF) is opening a second front in ,0.0
2015-05-06,6,5,2015,78.48634338378906,-0.021774288945173748,0.2732,0.2023,Proxy firms recommend JPMorgan shareholders vote against pay plan,(Reuters) - Two major proxy advisory firms recommended that JPMorgan Chase & Co's (N:JPM) shareholders vote against the bank's executive compensation plan saying...,two proxy advisory firms recommended that JPMorgan Chase & Co's shareholders vote against the,0.0
2015-05-13,13,5,2015,76.54964447021484,-0.024675616547760293,0.296,0.1531,Dupont expected to win proxy fight against Peltz: CNBC,(Reuters) - DuPont (N:DD) is expected to win a proxy fight against activist investor Nelson Peltz for board seats but the vote is likely to be very close CNBC reported citing...,duPont (N:DD) is expected to win a proxy fight against activist investor,0.0
2015-10-13,13,10,2015,72.91583251953125,-0.0474700042806534,0.2263,0.2263,Conoco changes bylaws to allow proxy access: filing,HOUSTON (Reuters) - ConocoPhillips (N:COP) the largest U.S. independent oil and gas company on Tuesday said its board amended its bylaws to allow minority shareholders to...,conocoPhillips said its board amended its bylaws to allow minority shareholders to,1.0
2015-10-26,26,10,2015,73.5846939086914,0.009173061131558802,0.1779,0.4215,JPMorgan joins proxy access trend adopts clawback disclosure,BOSTON (Reuters) - JPMorgan Chase & Co (N:JPM) said on Monday its board will consider a bylaw amendment to make it easier for small groups of investors to run candidates for...,JPMorgan Chase & Co (N:JPM) will consider a bylaw,0.0
2015-11-02,2,11,2015,74.41328430175781,0.011260363386094596,-0.1027,0.0772,Arbitration panel orders Ecuador to pay $1 bln to Occidental: Correa,QUITO (Reuters) - A World Bank tribunal said Ecuador must pay Occidental Petroleum Corp (N:OXY) around $1 billion for seizing the U.S.-based company's assets in 2006...,Occidental Petroleum Corp (N:OXY) must pay around $1 billion for se,1.0
2016-02-11,11,2,2016,65.54837799072266,-0.11913069546946131,-0.7003,-0.3818,AIG strikes deal with Icahn avoids proxy fight,By Sudarshan Varadhan (Reuters) - American International Group Inc (N:AIG) capitulated in its boardroom fight with activist investor Carl Icahn nominating both his representative...,American International Group Inc capitulated in its boardroom fight with activist investor Carl Icah,1.0
2016-02-17,17,2,2016,67.8943862915039,0.03579048593869549,-0.3818,-0.3678,Starboard takes steps toward proxy fight with Yahoo: Bloomberg,(Reuters) - Starboard Value LP is taking initial steps toward a potential proxy fight with Yahoo (O:YHOO) Inc indicating that the activist investor is not satisfied with...,starboard value LP is taking initial steps toward a potential proxy fight with Yahoo (O,1.0
2016-02-24,24,2,2016,68.88269805908203,0.014556605067977513,0.128,0.296,Exclusive: New York asks SEC to force climate vote onto Exxon proxy,By Ernest Scheyder HOUSTON (Reuters) - New York state's comptroller and four other  Exxon Mobil  (N:XOM) shareholders asked the U.S. Securities and Exchange Commission this...,comptroller and four other exxon Mobil shareholders asked the u.s.,1.0
2016-03-08,8,3,2016,70.3499984741211,0.021301436447517252,-0.1027,0.5574,United Continental investors nominate 6 for board; proxy fight looms,By Michael Flaherty and Alwyn Scott (Reuters) - Two investment funds with significant stakes in United Continental Holdings Inc (N:UAL) nominated a slate of six directors for the...,two investment funds with significant stakes in United Continental Holdings Inc nominated a,0.0
2016-03-17,17,3,2016,69.41999816894531,-0.013219620829386214,0.128,0.0,Exclusive: Anbang hires proxy solicitor for Starwood bid - sources,By Mike Stone and Michael Flaherty (Reuters) - China's Anbang Insurance Group Co has hired a proxy solicitation firm to advise it on how  Starwood Hotels  & Resorts Inc...,anbang Insurance Group Co has hired a proxy solicitation firm to advise it on how,1.0
2016-03-24,24,3,2016,68.29000091552734,-0.016277690625515873,-0.3818,0.34,Starboard launches proxy fight to remove entire Yahoo board,By Michael Flaherty and Supantha Mukherjee (Reuters) - Activist hedge fund Starboard Value LP moved on Thursday to overthrow the entire board of  Yahoo Inc  (O:YHOO) including...,Activist hedge fund Starboard Value LP moved to overthrow the entire board of,0.0
2016-03-28,28,3,2016,68.51000213623047,0.0032215729646167812,-0.743,0.2732,Avon strikes deal with Barington Capital to avoid proxy fight,(Reuters) - Cosmetics maker  Avon Products  Inc (N:AVP) has agreed to give Barington Capital Group LP the right to approve the appointment of an independent director in a bid to...,cosmetics maker agrees to give barington Capital Group the right to approve the appointment of an,0.0
2016-03-30,30,3,2016,67.93000030517578,-0.008465943847168034,0.2263,-0.2263,Yahoo to allow proxy access for board nominations,(Reuters) -  Yahoo Inc  (O:YHOO) will allow investors who have held stake of at least 3 percent in the struggling Internet company for a minimum of three years to nominate...,Yahoo Inc will allow investors who have held stake of at least 3 percent in the struggling Internet company,1.0
2016-05-17,17,5,2016,76.52999877929688,0.12660088967298044,0.0,-0.296,China's Geely cars think big with Volvo makeover,By Helena Soderpalm and Mia Shanley GOTHENBURG Sweden (Reuters) - The Briton who smoothed out Volvo's boxy lines and put signature radiator grilles on Lincolns for Ford is...,the Briton smoothed out Volvo's boxy lines and put signature radiator grille,0.0
2016-08-31,31,8,2016,77.83999633789062,0.01711743864483295,-0.5859,-0.25,RBC to pay $2.5 million for proxy violations over Rural/Metro sale: SEC,(Reuters) -  RBC  Capital Markets has agreed to pay $2.5 million for causing false and misleading disclosures in a proxy statement for the sale of Rural/Metro Corp an ambulance...,RBC Capital Markets agrees to pay $2.5 million for false and misleading disclosures ,0.0
2016-09-01,1,9,2016,76.8499984741211,-0.012718369865693635,-0.4019,0.0,ISS's Cernich who made recommendations on proxy fights leaves firm,By Svea Herbst-Bayliss BOSTON (Reuters) - Chris Cernich who has been instrumental in determining the outcome of some of America's most hotly contested mergers and proxy...,Chris Cernich has been instrumental in determining the outcome of some of America's most,1.0
2016-09-06,6,9,2016,77.51000213623047,0.008588206574026591,0.4019,0.0258,State Street funds ramp up support for climate-change measures,By Ross Kerber BOSTON (Reuters) -  State Street  Corp (NYSE:STT) funds backed a majority of shareholder resolutions on climate-change issues this year a swing from past proxy...,state street funds backed majority of shareholder resolutions on climate-change issues this year .,0.0
2016-09-20,20,9,2016,70.81999969482422,-0.08631147280383245,0.0,0.0,Okapi Partners hires Georgeson veteran Jason Alexander,By Michael Flaherty NEW YORK (Reuters) - Okapi Partners has hired Jason Alexander as a managing director to focus on its corporate clients the proxy solicitation and advisory...,Okapi Partners has hired Jason Alexander as a managing director to focus on its corporate clients the,1.0
2016-09-26,26,9,2016,69.5999984741211,-0.017226789409210963,-0.3818,0.0,Corvex drops Williams proxy fight after more directors named,By Michael Flaherty and Arathy S Nair (Reuters) - Pipeline operator Williams Cos Inc said on Monday it added two new directors prompting activist investor Corvex Management LP to...,Williams Cos Inc added two new directors prompting activist investor Corvex Management LP to,0.0
2016-11-16,16,11,2016,68.48999786376953,-0.01594828498113099,0.4019,0.5106,Harmony at Reed's in front of annual meeting,A group of shareholders calling itself The Committee to Rescue Reed's says it has withdrawn its nomination of director candidates and proxy contest at the upcoming annual meeting. ...,the committee to rescue Reed's says it has withdrawn its nomination of director candidates .,0.0
