Date,day,month,year,Close Before,Before_change,SA_T,SA_S,Title,Content,summary,Label
2014-08-22,22,8,2014,76.7699966430664,0.0,0.0,0.0,China regulators says Qualcomm seeks to end anti-trust probe,BEIJING (Reuters) - U.S. chipmaker Qualcomm Inc (O:QCOM) is seeking to end an investigation by China's pricing regulator into monopoly practices the company said on Friday...,chipmaker Qualcomm is seeking to end an investigation by china's pricing regulator . the company,0.0
2015-02-20,20,2,2015,70.9800033569336,-0.075420001814677,-0.4215,-0.4215,Ex-Qualcomm executive pleads guilty to insider trading,By Marty Graham SAN DIEGO (Reuters) - A former director of sales for U.S. chipmaker Qualcomm Inc (O:QCOM) pleaded guilty in San Diego on Thursday to insider trading officials...,former director of sales for u.s. chipmaker Qualcomm pleaded guilty to inside,0.0
2015-07-06,6,7,2015,63.11000061035156,-0.11087633663535545,-0.5423,-0.5423,China economic uncertainty a potential risk for U.S. chipmakers,By Mari Saito SAN FRANCISCO (Reuters) - Tumbling markets and economic uncertainty in China pose a risk to major chipmakers such as  Qualcomm Inc  (O:QCOM) that derive a big...,tumbling markets and economic uncertainty pose a risk to major chipmakers such as Qualcomm Inc,0.0
2015-07-16,16,7,2015,63.880001068115234,0.012200926165691905,0.0,-0.6369,EU Launches Antitrust Investigations Against Qualcomm,By Vishakha Sonawane -  The European Commission Thursday opened two antitrust investigations against chipset giant Qualcomm (NASDAQ:QCOM) Inc. for possible abuse of its...,the european Commission opens two antitrust investigations against chipset giant Qualcomm (NASDAQ:QCOM,1.0
2015-07-20,20,7,2015,64.33999633789062,0.007200927709517302,0.0,0.0,Qualcomm may consider breakup: WSJ | Qualcomm preparing to lay off several thousand employees: tech website,(Reuters) -  Qualcomm Inc  (O:QCOM) is expected to conduct a strategic review that may result in the breakup of the company among other options the Wall Street Journal reported... | (Reuters) - Chipmaker Qualcomm (NASDAQ:QCOM) Inc is preparing to lay off several thousand employees or more than 10 percent of its 30000-strong workforce the Information website...,Qualcomm Inc (NASDAQ:QCOM) is expected to conduct a strategic review that may result in the breakup of the company ,1.0
2015-07-22,22,7,2015,65.13999938964844,0.012433992808400074,-0.2023,0.128,Qualcomm slashes jobs and costs says may split itself,By Lehar Maan and Anya George Tharakan (Reuters) - Chipmaker  Qualcomm Inc  (O:QCOM) said it may break itself up as it delivered its third profit warning this year and announced...,chipmaker Qualcomm said it may break itself up as it delivered its third profit warning this year ,0.0
2015-09-03,3,9,2015,55.86000061035156,-0.14246237129642314,-0.431,0.1779,Qualcomm president says splitting company may not create value,By Liana B. Baker NEW YORK (Reuters) - Qualcomm Inc's (O:QCOM) President Derek Aberle under pressure from activist hedge fund Jana Partners to improve the licensing and chip...,Qualcomm Inc's (O:QCOM) president is under pressure from hedge fund Jana,0.0
2015-12-02,2,12,2015,49.29999923706055,-0.11743647156486725,0.0,0.0,Qualcomm to license patents to Chinese mobile phone maker Xiaomi,(Reuters) - Chipmaker Qualcomm (O:QCOM) Inc signed a licensing pact with Xiaomi Technology Co Ltd (XTC.UL) that allows the Chinese smartphone maker to use its patents to make and...,Qualcomm (O:QCOM) Inc signed a licensing pact with Xiaomi Technology Co,1.0
2015-12-08,8,12,2015,52.43000030517578,0.0634888664615294,-0.34,-0.5859,EU accuses Qualcomm of using market power to hinder rivals,By Foo Yun Chee BRUSSELS (Reuters) - European Union antitrust regulators charged Qualcomm (O:QCOM) on Tuesday with abusing its market power to thwart rivals putting the...,antitrust regulators charged Qualcomm with abusing its market power to thwart rivals,0.0
2015-12-15,15,12,2015,46.83000183105469,-0.10680904904683497,0.6369,0.0,Qualcomm decides against breakup says current structure best,By Devika Krishna Kumar (Reuters) - Qualcomm (O:QCOM) Inc has decided not to split into separate chipmaking and technology licensing businesses concluding a six-month strategic...,Qualcomm (O:QCOM) Inc has decided not to split into separate chipmaking and technology,1.0
2016-01-27,27,1,2016,48.52000045776367,0.036087947055946534,0.4404,0.0258,Qualcomm forecasts second-quarter profit below estimates,(Reuters) - Qualcomm (O:QCOM) Inc forecast current-quarter profit below analysts' estimates as demand for the company's chips for mobile devices weakened amid stiff...,Qualcomm (O:QCOM) Inc forecast current-quarter profit below analysts' estimates .,0.0
2016-03-01,1,3,2016,50.790000915527344,0.04678483999066918,0.128,0.2023,Qualcomm agrees to $7.5 million SEC fine to settle China bribery charges,Investing.com -- The U.S. Securities and Exchange Commissioned announced that Qualcomm Incorporated (O:QCOM) has agreed to pay $7.5 million to settle charges that it violated...,Qualcomm Incorporated agrees to pay $7.5 million to settle charges that violated...,1.0
2016-06-30,30,6,2016,53.54999923706055,0.05434137176180731,-0.4019,-0.4588,Qualcomm files 17 new complaints in China courts against smartphone maker Meizu,SHANGHAI (Reuters) - Qualcomm (NASDAQ:QCOM) Inc has filed 17 fresh complaints in China against Meizu Technology Co stepping up its battle with the Chinese smartphone maker after...,Qualcomm (NASDAQ:QCOM) Inc has filed 17 fresh complaints in china against meizu,0.0
2016-07-20,20,7,2016,55.13999938964844,0.029691880023174466,0.4215,0.6908,Strong demand from China buoys Qualcomm forecast,By Rishika Sadam (Reuters) - Qualcomm (NASDAQ:QCOM) Inc forecast current-quarter profit largely above market estimates as it sees strong demand for its mobile chips in China and...,Qualcomm (NASDAQ:QCOM) Inc forecast current-quarter profit largely above market estimates ,1.0
