Date,day,month,year,Close Before,Before_change,SA_T,SA_S,Title,Content,summary,Label
2021-03-11,11,3,2021,69.5,0.0,0.5423,0.7096,Cathie WoodÂs Magic Touch Lives On as Ark Stake Boosts Roblox | Roblox Up 12% Premarket As Cathie WoodÂs Fund Buys Over 50000 Shares,(Bloomberg) -- A rough period of performance for Cathie Wood hasnÂt diminished her ability to supercharge a stockÂs fortunes if RobloxÂ Corp (NYSE:RBLX) is anything to go by. The... | By Dhirendra Tripathi Investing.com Â Roblox (NYSE:RBLX) shares were up 12% at $78 in premarket trade Thursday extending their gains after their debut a day earlier. The reference...,a rough period of performance for Cathie Wood hasn't diminished her ability to supercharge a stocks fortunes,1.0
2021-03-16,16,3,2021,72.1500015258789,0.03812951835796996,0.0,0.296,Roblox Jumps As Stifel Sets $85 Price Target,By Dhirendra Tripathi Investing.com Â Roblox (NYSE:RBLX) shares rose 7% in TuesdayÂs session after analysts at Stifel put aÂ  ÂbuyÂ rating on them with an $85 target. The stock has...,analysts at the stock put a buy rating on them with an $85,1.0
2021-04-05,5,4,2021,67.33999633789062,-0.06666673716234117,0.34,0.3612,Roblox Gains As Several Analysts Call it a Buy,By Dhirendra Tripathi Investing.com Â Roblox (NYSE:RBLX) shares climbed 4% in MondayÂs trading after a number of Wall Street analysts called it a buy. Â  Roblox went public in March...,a number of Wall Street analysts called it a buy . shares climbed 4%,1.0
2021-04-13,13,4,2021,75.0,0.11375117431955184,0.5267,0.5994,Roblox Hasbro Gain On Deal To Sell Toys Based on Video Games,By Dhirendra Tripathi Investing.com Â Shares of both RobloxÂ Corp (NYSE:RBLX) and  Hasbro Inc  (NASDAQ:HAS) gained on Tuesday as the two struck a deal to create Nerf and Monopoly...,shares of both Roblox Corp (NYSE:RBLX) and Hasbro Inc (,1.0
2021-05-11,11,5,2021,64.0,-0.1466666666666666,0.0,0.3736,Roblox Jumps as Virtual Currency Trumps Actual Sales,By Christiana Sciaudone Investing.com -- Who needs to make real money when you can make virtual money? Hm. Trick question?RobloxÂ Corp (NYSE:RBLX) jumped 7% after the value of its...,Roblox Corp (NYSE:RBLX) jumped 7% after the value of,1.0
2021-05-24,24,5,2021,82.5,0.2890625,0.4404,0.3818,Roblox vs. Skillz: Which Video Game Stock Is a Better Buy?,The gaming industry is expected to grow at a stellar pace going forward making stocks such as Roblox (RBLX) and Skillz (SKLZ) enticing bets for long-term growth investors. .In the...,the gaming industry is expected to grow at a stellar pace going forward . stocks such as,1.0
2021-05-27,27,5,2021,89.70999908447266,0.08739392829663828,0.4404,0.296,Is Roblox a Good Video Game Stock to Add to Your Portfolio?,Online gaming platform provider RobloxÂs (RBLX) shares have been galloping since its stock market debut on March 10 2021. However because childrenÂwho are its target...,online gaming platform provider Robloxs shares have been galloping since its stock market debut,1.0
2021-06-11,11,6,2021,91.0,0.014379678170687082,0.0,-0.2263,Roblox Slips On $200 Million Copyright Suit From Music Labels,By Dhirendra Tripathi Investing.com Â Roblox (NYSE:RBLX) shares fell 1% early on in FridayÂs trading as the company faces a $200 million copyright infringement lawsuit...,Roblox (NYSE:RBLX) shares fell 1% early on in Fridays,0.0
2021-06-16,16,6,2021,89.80000305175781,-0.013186779651013003,0.4588,-0.1531,Roblox Slips As User Base Falls Engagement Slows,By Dhirendra Tripathi Investing.com -- Roblox (NYSE:RBLX) shares lost 8% of their value in premarket trading on Wednesday as weak May numbers of its user base and their slowing...,Roblox (NYSE:RBLX) shares lost 8% of their value in premarket,0.0
2021-08-17,17,8,2021,79.56999969482422,-0.11391985533716908,-0.1531,-0.296,Roblox Drops As Q2 Earnings Miss Estimates July Numbers Mixed,By Dhirendra Tripathi Investing.com Â Roblox stock (NYSE:RBLX) fell 4.7% Tuesday after the companyÂs second-quarter earnings missed estimates while July monthly numbers...,Roblox stock (NYSE:RBLX) fell 4.7% on tues,1.0
2021-10-11,11,10,2021,70.44000244140625,-0.11474170275775242,0.1027,0.7579,Is the Pullback in Roblox an Opportunity or Warning Sign?,The recent success of Squid Game helped online entertainment platform operator Roblox (RBLX) grab the marketÂs attention. However the companyÂs stock has declined in...,the recent success of Squid Game helped online entertainment platform operator Roblox grab the market',1.0
2021-11-01,1,11,2021,84.0199966430664,0.1927880995313187,0.5859,0.34,Roblox Gains as Services Restored After Three-Day Outage,By Dhirendra Tripathi Investing.com Â Roblox stock (NYSE:RBLX) traded 1% higher in MondayÂs premarket a day after the company restored its services ending a three-day...,Roblox stock (NYSE:RBLX) traded 1% higher in Monday's pre,0.0
2021-11-17,17,11,2021,116.18000030517578,0.3827660669725024,0.296,0.0,Roblox Shares Hit High as Morgan Stanley Nods at Early Metaverse Lead,By Sam Boughedda Investing.com Â RobloxÂ Corp (NYSE:RBLX)Â stock hit a new high Wednesday rising 7% to $125.82 after comments from Morgan StanleyÂ analyst Brian Nowak. The analyst...,stock hit a new high Wednesday rising 7% to $125.82 after comments from Morgan,1.0
2021-12-15,15,12,2021,107.66999816894533,-0.07324842583815472,0.0,0.296,Roblox Slides Following November Metrics Data,By Sam Boughedda Investing.com Â RobloxÂ Corp (NYSE:RBLX)Â shares are down 11.6% despite the online game platform's metrics in November showing a rise year on year. Roblox shares...,shares are down 11.6% despite the online game platform's metrics in November showing a,0.0
2021-12-17,17,12,2021,95.20999908447266,-0.11572396485900971,0.0,-0.128,Roblox Gets Buy Rating From Needham,By Sam Boughedda Investing.com Â RobloxÂ Corp (NYSE:RBLX)Â shares rose 6% onÂ  Friday looking to reclaim some of this week's losses following a buy rating from Needham. Roblox shares...,shares rose 6% on friday looking to reclaim some of this week's losses,1.0
2021-12-20,20,12,2021,102.4000015258789,0.07551730396538603,0.0,0.7906,Is Roblox a Buy Around $100?,Leading video gaming platform Roblox (RBLX) has gained huge popularity among children over the past year. However the stock has declined considerably in price over the past month...,video gaming platform Roblox (RBLX) has gained huge popularity among children over the past,1.0
2021-12-23,23,12,2021,102.7699966430664,0.003613233512442804,0.0,0.296,4 Stock Positions Cathie Wood Added to With Size Recently,Renowned investor Cathie WoodÂs risky investment bets delivered substantial returns in 2020. She recently added shares of Roblox (RBLX) UiPath (PATH) Robinhood...,cathie Wood recently added shares of Roblox (RBLX) UiPa,1.0
2022-02-14,14,2,2022,66.80999755859375,-0.34990756309320925,0.34,0.296,Roblox Gains After BofA Reinstates Buy Rating,By Sam Boughedda Investing.com ÂÂ Shares of RobloxÂ Corp (NYSE:RBLX) rose around 2% at the open Monday on the back of comments from BofA analyst Omar Dessouky who described the...,shares of Roblox Corp (NYSE:RBLX) rose around 2% at the,1.0
2022-02-15,15,2,2022,68.31999969482422,0.022601439775628895,0.1531,-0.1531,Roblox Falls as BBC Report Points to Sexual Content in its Games | Roblox Shares Fall 15% After EPS Miss,By Dhirendra Tripathi Investing.com Â Roblox stock (NYSE:RBLX) fell 1% on Tuesday after a BBC report revealed alarming sexual content in some games on the platform. The BBC... | By Sam Boughedda Investing.com --  Roblox Corp  (NYSE:RBLX) shares fell after-hours Tuesday after the company reported its fourth-quarter earnings. Roblox announced a loss per...,a BBC report revealed alarming sexual content in some games on the platform . the company reported its fourth-quarter earnings,0.0
2022-02-16,16,2,2022,73.30000305175781,0.07289232112380795,0.0,-0.128,Roblox Slumps as Frenzy for Video Games Begins to Cool,By Dhirendra Tripathi Investing.com Â RobloxÂ stock (NYSE:RBLX) tumbled 16% as its fourth-quarter numbers disappointed reflecting slowing growth at the gaming platform. The..., Roblox stock (NYSE:RBLX) tumbled 16% .,0.0
2022-03-11,11,3,2022,41.470001220703125,-0.43424284455457973,0.0,0.0,Roblox An Early Leader In Digital Creator Marketplace Says Deutsche Bank,By Sam Boughedda Investing.com --Â  Deutsche Bank Â initiated coverage on RobloxÂ Corp (NYSE:RBLX) Friday assigning a buy rating and a $60 price target implying an approximately 45%...,a buy rating and $60 price target imply an approximately 45% . 45% of,0.0
2022-03-15,15,3,2022,36.68000030517578,-0.11550520314757129,-0.631,0.4019,Roblox February DAUs Up 28% but Benchmark Sees Q1 Downside Risk,By Sam Boughedda Investing.com --Â On Tuesday RobloxÂ Corp. (NYSE:RBLX) reported its metrics for February revealing that daily active users were 55.1 million rising 28%...,daily active users were 55.1 million rising 28% . daily active user averaged 55.1,1.0
2022-04-27,27,4,2022,31.76000022888184,-0.13413304349399635,-0.2732,-0.2263,Roblox Price Target Cut at Morgan Stanley,By Sam Boughedda Investing.com -- RobloxÂ Corp (NYSE:RBLX)Â stock is down Wednesday after Morgan Stanley slashed its price target on the stock to $32 from $65 keeping an Equal...,the stock is down after Morgan Stanley slashed its price target on the stock to $3,1.0
2022-05-05,5,5,2022,34.880001068115234,0.0982368015349111,-0.2732,0.0258,Roblox Price Target Cut By BofA,By Sam Boughedda Investing.com -- RobloxÂ Corp (NYSE:RBLX) shares fell 12.5% on Thursday after BofA analyst Omar Dessouky cut the price target to $46 from $71. In a note to clients...,Roblox shares fell 12.5% on friday after a price target cut to $46,0.0
2022-05-10,10,5,2022,24.61000061035156,-0.29443807750200346,0.1531,-0.5209,Roblox Shares Down 5% on Q1 Miss,Roblox (NYSE:RBLX)Â shares were trading more than 5% lower after-hours following the companyÂs Q1 results with EPS of ($0.27) coming in worse than the consensus estimate of...,shares were trading more than 5% lower after-hours following the company's Q1,0.0
2022-05-11,11,5,2022,23.190000534057617,-0.05770012357076726,0.1139,0.5267,Roblox Stock Reaction Muted Despite Earnings Miss Analysts Weigh In,Shares of Roblox (NYSE:RBLX) initially plunged over 10% in post-market trading after the company reported worse-than-expected Q1 bookings. However shares have recovered since to...,shares of Roblox (NYSE:RBLX) plunged over 10% in post-market,1.0
2022-05-24,24,5,2022,30.059999465942383,0.29624833004187523,-0.1779,-0.5423,Roblox Shares Sink Following Wall Street Downgrade Citing Weak App Download Trends,By Liz Moyer RobloxÂ Corp (NYSE:RBLX)Â shares fell 10% Tuesday after Atlantic Equities analyst Kunaal Malde cut the rating to Neutral from Overweight. Malde cut the price target in...,shares fell 10% after analyst Kunaal Malde cut the rating to Neutral from Overweight,0.0
2022-05-27,27,5,2022,30.59000015258789,0.017631427014694223,-0.296,-0.2732,Roblox Target Cut at Morgan Stanley Expect Pressure on Near-Term Profitability,By Sam Boughedda Investing.com -- RobloxÂ Corp's (NYSE:RBLX)Â price target was cut to $27 from $32 byÂ Morgan Stanley analyst Brian Nowak on Friday. The analyst who maintained an...,Roblox Corp's price target was cut from $32 by analyst Brian Nowak ,0.0
2022-06-15,15,6,2022,26.1200008392334,-0.14612616185215466,0.0,0.296,Roblox Falls After Reporting Slowing of All Major Metrics in May,ByÂ Investing.comÂ Staff Shares of Roblox (NYSE:RBLX) fell 4% in pre-open trading Wednesday after releasing May 2022 metrics which showed a slowing of all major metrics including...,by Investing.com Staff Shares of Roblox (NYSE:RBL,0.0
