Date,day,month,year,Close Before,Before_change,SA_T,SA_S,Title,Content,summary,Label
2016-05-18,18,5,2016,4.429999828338623,0.0,0.0,0.0,Pascal Soriot's big experiment: reinventing AstraZeneca,By Ben Hirschler LONDON (Reuters) - AstraZeneca Chief Executive Pascal Soriot is a big believer in science and the biggest experiment of his career is the reinvention of the...,astraZeneca chief executive Pascal Soriot is a big believer in,0.0
2016-06-14,14,6,2016,3.309999942779541,-0.2528216543925046,0.4767,0.8442,Exclusive: EU set to clear unconditionally Marriott Starwood deal - source,By Foo Yun Chee BRUSSELS (Reuters) - U.S. hotel chain Marriott International (O:MAR) is on track to win unconditional EU antitrust approval for its cash and share purchase of ...,hotel chain is on track to win unconditional antitrust approval for its cash and share purchase of ,1.0
2016-06-27,27,6,2016,3.4800000190734863,0.0513595405537044,0.0772,0.7906,EU clears Marriott's purchase of Starwood Hotels,BRUSSELS (Reuters) - U.S. hotel chain Marriott International (O:MAR) secured EU antitrust approval on Monday for its cash and share purchase of  Starwood Hotels  and Resorts...,Marriott International secured EU antitrust approval for its cash and share purchase of Starwood Hotels and Resort,0.0
2016-07-27,27,7,2016,3.4100000858306885,-0.020114923235383997,0.296,0.5859,Marriott shares inch down despite second quarter earnings beat,Investing.com -- Shares in Marriott International Inc (NASDAQ:MAR) inched down in after-hours trading even after the international hotel chain reported stronger than expected...,shares in Marriott International Inc (NASDAQ:MAR) inched down in after-hours trading,0.0
2016-08-09,9,8,2016,3.180000066757202,-0.06744868424760098,0.128,0.0,China extends Marriott-Starwood deal review by up to 60 days,By Mike Stone and Michelle Price (Reuters) - China has extended its review of Marriott International Inc's (O:MAR) acquisition of  Starwood Hotels  & Resorts Worldwide...,China extends review of Marriott International Inc's acquisition of Starwood Hotels & Resorts,1.0
2016-09-20,20,9,2016,4.539999961853027,0.4276729140080433,0.7125,0.8271,China's OK clears last hurdle for Marriott's deal to buy Starwood | China approves Marriot purchase of Starwood,(Reuters) - Chinese antitrust regulators approved Marriott International Inc's (O:MAR) deal to buy  Starwood Hotels  & Resorts Worldwide Inc (N:HOT) clearing the way for... | Investing.com - Marriott (NASDAQ:MAR)said Tuesday the Chinese ant-trust authorities have approved its acquisition of Starwood (NYSE:HOT). Last regulatory approval needed to...,ant-trust authorities have approved the deal to buy Starwood hotels & Resorts Worldwide Inc .,0.0
2016-11-08,8,11,2016,2.740000009536743,-0.39647576375344373,-0.25,0.5574,Patriot National rejects Ebix offer; shares jump 15%,Ebix (EBIX -0.8%) this summer had initially offered $9.50 per share for Patriot National (NYSE:PN) later enhancing that to a total enterprise value of $475M (which likely would...,Ebix (EBIX -0.8%) initially offered $9.50 per share for,0.0
2016-11-15,15,11,2016,2.7300000190734863,-0.0036496315432303916,0.4404,0.2263,Patriot National has a better offer,"""The Ebix transaction was rejected because it wasnÂt the best offer on the table"" said Patriot National (PN +4.4%) CEO Steven Mariano on yesterday's earnings call...","""the Ebix transaction was rejected because it wasnt the best offer on the table",1.0
2016-12-22,22,12,2016,3.799999952316284,0.3919413647498571,0.5719,0.6597,Lockheed Martin wins $1.45 billion contract for Patriot missiles -Pentagon,WASHINGTON (Reuters) -  Lockheed Martin  Corp (NYSE:LMT) has been awarded a $1.45 billion contract for Patriot missiles spare parts and ground support for South Korea Qatar...,Lockheed Martin Corp (NYSE:LMT) has been awarded a $1.45 billion,0.0
2017-03-21,21,3,2017,3.309999942779541,-0.12894737254879818,0.0,0.1027,Marriott to add up to 300000 rooms by 2019,(Reuters) - Marriott International Inc (O:MAR) said on Tuesday it planned to add up to 300000 rooms worldwide by 2019 as part of a three-year growth plan ahead of the No. 1...,Marriott International Inc (O:MAR) plans to add up to 300000 rooms worldwide by 2019,1.0
