Date,day,month,year,Close Before,Before_change,SA_T,SA_S,Title,Content,summary,Label
2021-11-11,11,11,2021,100.7300033569336,0.0,0.5994,0.34,Rivian Surges Again in Premarket a Day After Blockbuster Debut,By Dhirendra Tripathi Investing.com Â Rivian stock (NASDAQ:RIVN) is looking at another day of gains Thursday after it rose more than 29% on its debut in another emphatic...,Rivian stock is looking at another day of gains after it rose more than 29% on,1.0
2021-11-16,16,11,2021,149.36000061035156,0.4827756937632486,0.0,-0.3182,Rivian Jumps 11% as Investors CanÂt Have Enough of EV Makers,By Dhirendra Tripathi Investing.com Â Rivian stock (NASDAQ:RIVN) surged 11% Tuesday as the investor frenzy for electric vehicles intensifies amid a broader push for green energy...,the investor frenzy for electric vehicles intensifies amid a broader push for green energy,0.0
2021-11-17,17,11,2021,172.00999450683594,0.1516469858323941,0.5256,0.7425,Rivian Falls After Record Rally Made It 4th Most Valuable Carmaker,By Dhirendra Tripathi Investing.com Â Rivian stock (NASDAQ:RIVN) fell 9% Wednesday as traders booked profits after a post-IPO rally made it the fourth most valuable carmaker. At...,traders booked profits after a post-IPO rally made it the fourth most valuable carmaker ,0.0
2021-11-18,18,11,2021,146.07000732421875,-0.1508051160456626,0.4404,0.0,Tesla vs. Rivian: Which Electric Vehicle Stock Is a Better Investment?,Investors who are bullish on the electric vehicle (EV) space might consider adding stocks such as Tesla (NASDAQ:TSLA) and Rivian (RIVN) to their portfolios. While Tesla is a market...,investors who are bullish on the electric vehicle space might consider adding stocks such as Tesla (NASDAQ,0.0
2021-11-22,22,11,2021,128.60000610351562,-0.11960019404891586,0.0,0.3182,Rivian Falls Premarket; Tesla and Uber Rise | Rivian Falls After Calling off Plans for EV with Ford,By Peter NurseÂ  Investing.com -- Stocks in focus in premarket trade on Monday November 22nd. Please refresh for updates.     Rivian Automotive   (NASDAQ:RIVN) stock fell 4.3%... | By Dhirendra Tripathi Investing.com Â Rivian stock (NASDAQ:RIVN) slipped 5% in MondayÂs premarket trading after the company and Ford Motor called off their plan to jointly develop...,Rivian stock (NASDAQ:RIVN) slipped 5% in premarket trading . the company and Ford,0.0
2021-11-23,23,11,2021,118.11000061035156,-0.08157080089654278,0.4404,0.4019,Lucid Group vs. Rivian: Which Electric Vehicle Stock Is a Better Buy?,Electric vehicle (EV) companies Lucid Motors (LCID) and Rivian (RIVN) have the potential to grow at an exponential rate in the future making them interesting stocks to consider....,electric vehicle (EV) companies Lucid Motors (LCID) and Rivian (,0.0
2021-12-06,6,12,2021,104.66999816894533,-0.11379224766703044,0.4939,0.0,Rivian is 'The One' To Challenge Tesla Says Morgan Stanley | Rivian vs. Hyliion Holdings: Which Electric Vehicle Stock Is a Better Buy?,"By Sam Boughedda Investing.com Â  Rivian Automotive  Inc (NASDAQ:RIVN)Â rose 4% Monday after bullish analyst notes withÂ Morgan Stanley telling investors the company is ""the one""... | Rivian (RIVN) and Hyliion Holdings (HYLN) are both electric vehicle (EV) stocks that are yet to report any material revenue but are in a fast-growing industry. Today IÂll...","bullish analyst notes with Morgan Stanley telling investors the company is ""the one"" Rivian (RIVN) and Hy",1.0
2021-12-09,9,12,2021,122.12000274658205,0.16671448249641774,0.4404,0.6908,Rivian vs. Nikola: Which Electric Vehicle Stock is a Better Buy?,Rivian Automotive (RIVN) and Nikola (NKLA) are two popular stocks within the electric vehicle (EV) industry. Which is currently the better investment?.The electric vehicle (EV)...,Rivian Automotive (RIVN) and Nikola (NKLA) are two popular stocks,0.0
2021-12-15,15,12,2021,117.13999938964844,-0.040779587659098615,0.0,0.0,Rivian to Build $5bn Battery and Assembly Plant AP Reports,By Sam Boughedda Investing.com Â  Rivian Automotive  Inc (NASDAQ:RIVN) will build a $5 billion electric truck plant east of Atlanta the Associated Press reported...,Rivian Automotive Inc (NASDAQ:RIVN) will build a $5 billion electric,0.0
2021-12-17,17,12,2021,108.87000274658205,-0.07059925461974348,-0.4019,-0.3182,Rivian Slumps as Losses Widen Vehicle Output Falls Short,By Dhirendra Tripathi Investing.com Â Rivian stock (NASDAQ:RIVN) plummeted 8% in FridayÂs premarket trading after third-quarter loss rose more than four times and the company said...,Rivian stock (NASDAQ:RIVN) plummeted 8% in pre,0.0
2021-12-22,22,12,2021,96.81999969482422,-0.11068249056451995,0.0,-0.3818,Should You Buy Rivian on the Dip?,The electric vehicle (EV) startup Rivian Automotive (RIVN) conducted its IPO on November 10 raising nearly $12 billion. However the stock tumbled last Friday to its lowest price...,Rivian Automotive (RIVN) conducted its IPO on November 10 raising nearly $12,1.0
2021-12-29,29,12,2021,102.87000274658205,0.06248712116119992,0.0,0.0,Rivian Drops on Delaying Deliveries of Pickup SUV,By Dhirendra Tripathi Investing.com Â Rivian stock (NASDAQ:RIVN) fell nearly 5% on Wednesday on reports of the company delaying deliveries of its electric pickup truck and sports...,Rivian stock fell nearly 5% on reports of the company delaying deliveries of its electric,1.0
2022-01-11,11,1,2022,81.44000244140625,-0.20832117947899853,0.0,0.5267,Rivian Started with Buy at Redburn Lucid Neutral,By Sam Boughedda Investing.com Â  Rivian Automotive  Inc (NASDAQ:RIVN)Â shares are up more than 4% Tuesday after Redburn analyst Charles Coldicott started the company's shares at a...,shares are up more than 4% after redburn analyst Charles Coldicott started the company',1.0
2022-01-26,26,1,2022,59.61000061035156,-0.2680501126797086,0.296,0.5994,Rivian Shares Jump on Reports It Is Increasing Pickup Production,By Sam Boughedda Investing.com Â Shares of Amazon-backed  Rivian Automotive  Inc (NASDAQ:RIVN) were given a boost Wednesday afternoon after Bloomberg reported the company will ramp...,shares of amazon-backed Rivian Automotive Inc (NASDAQ:RIVN) given ,0.0
2022-02-15,15,2,2022,62.650001525878906,0.050998169508480684,0.34,0.0,Rivian Gains as CalPERS Other Pension Funds Take Stake,By Dhirendra Tripathi Investing.com Â Rivian stock (NASDAQ:RIVN) traded 5.8% higher in premarket Tuesday on disclosures that seven state government employee pension funds as well...,Rivian stock (NASDAQ:RIVN) traded 5.8% higher in premarket ,1.0
2022-03-03,3,3,2022,53.560001373291016,-0.14509177863041356,0.3182,0.128,Rivian Backtracks on Price Increase,"By Sam Boughedda Investing.com --Â A few days after announcing price increases  Rivian Automotive  Inc (NASDAQ:RIVN) has backtracked stating they ""broke the trust we have worked...","Rivian Automotive Inc has backtracked stating they ""broke the trust we",0.0
2022-03-11,11,3,2022,41.15999984741211,-0.23151607931179896,-0.4404,0.3182,Rivian Slides as Production Target Halved on Supply Chain Woes | Rivian DocuSign Oracle Fall Premarket; Pearson Soars,By Dhirendra Tripathi Investing.com Â Rivian (NASDAQ:RIVN) stocks tumbled 12% in premarket Friday after the EV-maker said its production in 2022 is likely to be 25000 units as... | By Peter Nurse Investing.com -- Stocks in focus in premarket trade on Friday March 11th. Please refresh for updates.    Rivian Automotive   (NASDAQ:RIVN) stock fell 8.4% after the...,the EV-maker said its production in 2022 is likely to be 25000 units . the stock fell 8.4% after the,0.0
