Date,day,month,year,Close Before,Before_change,SA_T,SA_S,Title,Content,summary,Label
2022-06-02,2,6,2022,8.569999694824219,0.0,0.4215,0.0772,Delta United Airlines sound bullish on post-pandemic spending,By Rajesh Kumar Singh and Aishwarya Nair (Reuters) -Delta Air Lines Inc and United Airlines on Wednesday played down the risk of a U.S. economic recession and said a switch in...,delta air lines and united airlines played down the risk of a recession ,0.0
2022-06-21,21,6,2022,4.0,-0.5332555259697656,-0.5994,-0.1027,Old is gold: sky-high cost of ageing ships sounds inflation SOS | Elon Musk Sounds Off on Recession Risk Twitter Deal and Trump,By Joe Brock SINGAPORE (Reuters) - Shipping companies are transforming rust buckets into gold mines in a modern-day alchemy that could fuel already rampant inflation for years to... | (Bloomberg) -- Elon Musk the billionaire visionary and oftentimes erratic entrepreneur struck a sober tone Tuesday as he forecast a probable recession in the US and left doubts...,shipping companies are transforming rust buckets into gold mines in a modern-day alchemy . the billionaire,0.0
2022-06-23,23,6,2022,3.5899999141693115,-0.10250002145767212,0.1779,0.5423,Amazon has a plan to make Alexa mimic anyone's voice,By Jeffrey Dastin LAS VEGAS (Reuters) - Amazon.com Inc (NASDAQ:AMZN) wants to give customers the chance to make Alexa the company's voice assistant sound just like their...,amazon.com Inc (NASDAQ:AMZN) wants to give customers the chance to make,0.0
2022-07-12,12,7,2022,3.25,-0.09470749924738753,0.1366,0.4215,U.S. auto agency will not allow EV owners to pick alert sounds,By David Shepardson WASHINGTON (Reuters) - U.S. auto safety regulators on Tuesday scrapped a 2019 proposal that would have allowed automakers to offer a variety of sound choices...,2019 proposal would have allowed automakers to offer sound choices . regulators scrap proposal that would,1.0
2022-07-28,28,7,2022,3.7899999618530273,0.16615383441631604,-0.2023,-0.4588,Supply disruptions cloud aerospace outlook after solid first half,By Rajesh Kumar Singh and Tim Hepher CHICAGO/PARIS (Reuters) - Major aerospace companies are sounding the alarm on their supply chains as shortages ranging from raw materials to...,major aerospace companies are sounding the alarm on supply chains . shortages range from raw materials,0.0
2022-08-01,1,8,2022,3.5,-0.07651714110077168,-0.1531,0.5106,Marketmind: When bad news sounds good,A look at the day ahead in markets from Anshuman Daga After a strong set of mostly upbeat earnings reports from both sides of the Atlantic last week stock bulls will now want...,a look at the day ahead in markets from anshuman Daga . stock bull,1.0
2022-08-30,30,8,2022,2.859999895095825,-0.18285717282976421,0.0,0.4404,Netflix's Move to an Ad-Supported Tier 'Strategically Sound' - Morgan Stanley,By Sam Boughedda An analyst at Morgan Stanley told investors in a note on Tuesday that Netflix's (NASDAQ:NFLX) launch of an ad-tiered subscription is beneficial to long-term...,analyst at Morgan Stanley told investors that Netflix's launch of an ad-tiere,0.0
2022-09-21,21,9,2022,3.039999961853028,0.06293708858726088,0.3182,0.3182,Walmart plans cautious holiday hiring amid slowing U.S. economy,By Siddharth Cavale NEW YORK (Reuters) -Walmart Inc sounded a cautious note about holiday retail sales on Wednesday planning to hire fewer workers than last year as it prepares...,holiday retail sales plan to hire fewer workers than last year . the company is planning to,1.0
2022-09-23,23,9,2022,3.240000009536743,0.06578949019519253,0.0,0.6124,Exclusive-Credit Suisse sounds out investors about capital hike -sources,By Oliver Hirt ZURICH (Reuters) - Credit Suisse is sounding out investors for fresh cash two people familiar with the matter said approaching them for the fourth time in around...,credit Suisse is sounding out investors for fresh cash two people familiar with the matter said approaching them,0.0
2022-09-28,28,9,2022,3.259999990463257,0.006172833601125083,0.0,0.5267,Apple Production Reports Sound 'a Little Weird': TF International,Apple (AAPL) shares fell Wednesday after reports that the technology giant was ditching its plans to boost iPhone production after demand falters. However according to TF...,apple shares fell after reports that the technology giant was ditching its plans to boost production after demand,0.0
2022-10-12,12,10,2022,3.5,0.07361963504258728,-0.296,-0.6369,Marketmind: Confusion reigns,"A look at the day ahead in U.S. and global markets from Mike Dolan Phrases like ""you've got three days left"" and ""the worst is yet to come"" sound like takes from disaster movies...","""you've got three days left"" and ""the worst is yet to come"" sound",0.0
2022-10-17,17,10,2022,3.930000066757202,0.12285716193062912,0.6486,0.4019,Big Chinese banks pledge enhanced support for economy as Xi sounds call for growth,BEIJING (Reuters) - China's six largest state-owned banks vowed they will enhance support to the slowing economy in response to President Xi Jinping's call for a high-quality...,six largest state-owned banks vowed they will boost support to slowing economy .,0.0
2022-11-23,23,11,2022,1.4500000476837158,-0.6310432511315024,0.0,0.2023,Tesla to add Dolby Atmos to vehicles - BGR,By Sam Boughedda For months Tesla (NASDAQ:TSLA) has worked with significant record labels to bring Dolby Atmos a surround sound technology to its vehicles according to BGR on...,Tesla (NASDAQ:TSLA) has worked with record labels to bring dolby Atmos,1.0
2022-12-06,6,12,2022,1.2699999809265137,-0.12413797299161544,-0.7351,0.3818,Goldman CEO Sounds Warning on Pay Job Cuts on Uncertain Outlook,(Bloomberg) --  Goldman Sachs Group  Inc (NYSE:GS). Chief Executive Officer David Solomon struck a downbeat note about the economic outlook and said smaller bonuses and even...,chief executive officer David Solomon struck a downbeat note about the economic outlook . he,0.0
2022-12-07,7,12,2022,1.2899999618530271,0.015748016714081103,-0.8689,-0.8658,S&P 500 slips as recession fears bite | Stock market today: Dow flat in directionless trade as bonds sound recession alarm,By Yasin Ebrahim Investing.com -- The S&P 500 slipped Wednesday led by tech as the bond market continued to sound the alarm on a recession souring investor sentiment on... | By Yasin Ebrahim Investing.com -- The Dow closed flat Wednesday after swinging between gains and losses as theÂ bond market continued to sound the alarm on a recession souring...,the Dow closed flat after swinging between gains and losses as the bond market continues to sound the alarm on a recession souring investor sentiment,0.0
2022-12-09,9,12,2022,1.2000000476837158,-0.0697673773881593,0.4588,0.5719,Telecom Italia sounds out investor interest as govt reviews network options,By Elvira Pollina and Giuseppe Fonte MILAN (Reuters) -  Telecom Italia  (BIT:TLIT) (TIM) is exploring investors' interest in buying into its assets sources familiar with the...,Telecom Italia is exploring investors' interest in buying into its assets sources familiar with the...,0.0
2022-12-22,22,12,2022,1.0199999809265137,-0.15000004967053537,0.5106,0.5106,Analysis-Italy's nationalists set to loosen grip on beloved airline with mooted Lufthansa deal,By Angelo Amante and Joanna Plucinska ROME (Reuters) - Italy's new right-wing government has shown it is prepared to put sound finances ahead of national pride by revamping plans...,right-wing government has shown it is prepared to put sound finances ahead of national pride .,0.0
2023-01-18,18,1,2023,1.350000023841858,0.32352945988841086,0.3911,0.1779,U.S. airlines sound bullish on travel demand despite recession risk,By Rajesh Kumar Singh CHICAGO (Reuters) - U.S. airlines on the back of strong financial results remain upbeat about travel demand even as economists and analysts say the risk of...,u.s. airlines on the back of strong financial results remain upbeat about travel demand,0.0
2023-01-26,26,1,2023,1.4600000381469729,0.08148149063884813,0.0,0.3182,Tesla surges American Airlines up; IBM SAP down in premarket,By Geoffrey Smith Investing.com -- Stocks in focus in premarket on Thursday January 26th. Please refresh for updates. Tesla (NASDAQ:TSLA) stock rose 10% after sounding an upbeat...,stock in focus in premarket on Thursday January 26th . Tesla (NASDAQ:TSLA,1.0
2023-01-31,31,1,2023,2.059999942779541,0.4109588280518719,0.0,0.0,U.S. execs sound a note of caution even as earnings outstrip estimates,By Bianca Flowers and Joseph White CHICAGO/DETROIT (Reuters) -The companies that produce goods at the heart of the U.S. consumer economy - SUVs washing machines heavy equipment...,the companies that produce goods at the heart of the american consumer economy - SUVs washing machines,0.0
2023-02-02,2,2,2023,2.059999942779541,0.0,0.0,0.5984,Wall Street analysts switch stance on Meta Platforms following Q4 earnings,By Sam Boughedda Following Meta Platforms' (NASDAQ:META) earnings release after the close on Wednesday Wall Street analysts are sounding a more positive tone on the stock with...,analysts are sounding a more positive tone on the stock with a softer tone on,1.0
2023-02-06,6,2,2023,2.819999933242798,0.3689320444532611,-0.1531,0.8402,AI stocks rally in latest Wall Street craze sparked by ChatGPT,(Reuters) - Shares of C3.ai Inc BigBear.ai and SoundHound AI extended a rally on Monday as artificial intelligence becomes a new buzzword on Wall Street with the viral success of...,share of C3.ai Inc BigBear.ai and SoundHound AI extended,1.0
2023-02-07,7,2,2023,4.03000020980835,0.4290781224147542,0.0,0.4019,Italy's CDP sounds out banks funds on rival bid for TIM grid sources say,By Elvira Pollina and Giuseppe Fonte MILAN (Reuters) - Italian state lender CDP is sounding out banks that could help finance its offer for  Telecom Italia  (BIT:TLIT)'s landline...,italy's state lender CDP is sounding out banks that could help finance its,1.0
2023-02-09,9,2,2023,4.630000114440918,0.14888334327434238,0.0,0.0,Factbox-Burt Bacharach songwriter and composer,"(Reuters) - Composer Burt Bacharach whose hits such as ""Do You Know the Way to San Jose"" and ""Raindrops Keep Fallin' on My Head"" provided a mellow alternative soundtrack to rock...","""Do You Know the Way to San Jose"" and ""Raindrops Keep Fall",0.0
