Date,day,month,year,Close Before,Before_change,SA_T,SA_S,Title,Content,summary,Label
2014-01-14,14,1,2014,9.28933334350586,0.0,0.0,0.0,A Cheaper Tesla Has Arrived; Now About That Range...,By Angelo Young - Jerome Guillen Telsa Motors Inc. (NASDAQ:TSLA) head of global sales wouldnÂt say Tuesday what the range of the companyÂs planned lower-cost electric vehicle...,jerome Guillen Telsa's head of global sales wouldn't say what,1.0
2014-02-18,18,2,2014,13.215332984924316,0.4226352415443364,-0.7034,0.4939,Tesla 4Q And Full Year Results: HereÂs What To Look For,By Angelo Young -Â As with many exciting startups market watchers and investors arenÂt looking for the same guidance in Tesla Motors Inc. (NASDAQ:TSLA) earnings reports that they...,investors arent looking for the same guidance in Tesla Motors Inc. earnings reports ,0.0
2014-02-19,19,2,2014,13.579999923706056,0.027594230065768555,0.5574,0.0,Tesla Makes Toys For The Rich Says Chinese Auto Exec,By Angelo Young -Â The head of one of ChinaÂs major automakers brushed aside concerns about the arrival this year of Tesla Motors Inc. (NASDAQ:TSLA) to the mainland. In an...,the head of one of china's major automakers brushed aside concerns about the arrival of,1.0
2014-02-27,27,2,2014,16.866666793823242,0.24202259857010633,0.0,0.5859,"Tesla Again Captures Wall Street's Imagination With New Battery ""Gigafactory"" Revelations",By Greg Morcroft -Â On Wednesday Tesla Motors Inc. (NASDAQ:TSLA) the all-electric vehicle maker and current Wall Street darling unveiled long-awaited plans for its new battery...,the all-electric vehicle maker unveils long-awaited plans for its new battery .,0.0
2014-03-20,20,3,2014,15.72266674041748,-0.06782608961153525,0.0,-0.3818,Bespoke Legislation: Arizona Courts Tesla,By Angelo Young -Â A week after New Jersey joined four other states in blocking efforts by Tesla Motors Inc. (NASDAQ:TSLA) to establish its own dealerships an Arizona state senate...,new jersey joins four other states in blocking efforts by new jersey . senate,0.0
2014-05-06,6,5,2014,14.440667152404783,-0.08153830448604016,0.0,0.0,TeslaÂs First Quarter: What To Look For,By Angelo Young -Â Tesla Motors Inc (NASDAQ:TSLA) has emerged as the first luxury-level electric sedan maker with the potential to move beyond boutique-automaker to the worldÂs only...,Tesla has emerged as the first luxury-level electric sedan maker with the potential to move beyond boutique,0.0
2014-05-23,23,5,2014,13.658666610717772,-0.054152660222265836,0.0,0.0,Panasonic Aims To Be Sole Producer In Tesla's Multibillion-Dollar Factory,By Reuters -Â Panasonic Corp. (TOKYO:6752)Â said it expected to become the sole manufacturer in Tesla Motors Inc's (NASDAQ:TSLA) planned multibillion-dollar U.S. battery factory...,Panasonic said it expected to become the sole manufacturer in Tesla's planned multibillion-dollar,1.0
2014-06-03,3,6,2014,13.646666526794434,-0.0008785692092316832,-0.3182,-0.0516,Why Tesla Motors Outlines Its Efforts To Root Out Conflict Minerals From Its Supply Chain,By Angelo Young -Â Tesla Motors Inc. (NASDAQ:TSLA) this week said in a Securities and Exchange Commission filing that itÂs having difficulty determining the source for some of the...,Tesla Motors Inc. (NASDAQ:TSLA) is having difficulty determining the source for,0.0
2014-06-04,4,6,2014,13.662667274475098,0.0011725022846602595,0.0,0.0,Tesla Will Name Battery 'Gigafactory' Sites By End Of Year,By Meagan Clark -Â Electric car maker Tesla Motors Inc. (Nasdaq:TSLA) will decide where to build a battery ÂgigafactoryÂ before the end of the year CEO Elon Musk told investors...,Tesla will decide where to build a battery gigafactory before the end,1.0
2014-06-20,20,6,2014,15.185999870300291,0.11149598868378496,0.128,0.0258,Tesla Motors Expands Reach In Europe US,By Maria Gallucci - Electric vehicle superstar Tesla Motors Inc (NASDAQ:TSLA) expanded its reach into European and U.S. markets this week continuing its quest to bolster the...,electric vehicle superstar Tesla Motors Inc (NASDAQ:TSLA) expands its reach into european,1.0
2014-06-27,27,6,2014,15.706666946411133,0.03428599239811181,0.0,0.2023,Japanese Place Bet On Fuel Cell Vehicles Taking On Tesla,By Maria Gallucci - JapanÂs top leaders and automakers are betting that their fledgling fuel cell vehicles can take onÂ Tesla Motors Inc (NASDAQ:TSLA) all-electric cars. Prime...,japan's top leaders and automakers are betting that their fledgling fuel cell vehicles,1.0
