Date,day,month,year,Close Before,Before_change,SA_T,SA_S,Title,Content,summary,Label
2009-07-21,21,7,2009,10.0600004196167,0.0,0.296,0.0,PREVIEW-Investment bank seen helping C.Suisse shine in Q2,* Bank net seen at $1.3 bln down 30 percent q/q up 15 y/y  * Investment banking performance to lift earnings  * Huntsman charge narrowing CDS to dent bottom line  * Wealth...,bank net seen at $1.3 bln down 30 percent q/q up 15,1.0
2009-09-09,9,9,2009,11.0600004196167,0.09940357438256453,-0.128,-0.128,Workers at UK navy shipyard vote for strike,LONDON Sept 9 (Reuters) - Four hundred workers at the BVT Surface Fleet shipyard in Portsmouth southern England voted to strike over a planned change in working conditions that...,four hundred workers at the shipyard in Portsmouth voted to strike over a planned change in,1.0
2010-12-17,17,12,2010,12.31999969482422,0.1139239807778587,-0.4767,-0.9062,TSMC fires manager arrested in US insider trading probe,TAIPEI Dec 17 (Reuters) - TSMC said on Friday an account manager who had been arrested on charges of leaking confidential information has been fired for violating company...,account manager who had been arrested on charges of leaking confidential information has been fired for violating,1.0
2011-03-10,10,3,2011,12.520000457763672,0.016233828562794095,0.0,0.0,TSMC says Feb sales up 8.8 pct on year,TAIPEI March 10 (Reuters) - TSMC  the world's biggest contract chipmaker said on Thursday that sales in February rose 8.8 percent from a year earlier.  Taiwan Semiconductor...,TSMC said sales in february rose 8.8 percent from a year earlier ,0.0
2011-04-28,28,4,2011,13.289999961853027,0.0615015555859566,-0.128,0.743,UPDATE 1-TSMC sees Q2 sales slightly up; looks to smartphone demand,* Q1 net profit T$36.3 bln in line with forecasts * Sees Q2 sales slightly up * Smartphones tablets top growth sectors: CEO * Sees Japan quake impact negligible (Adds...,Q1 net profit T$36.3 bln in line with forecasts .,1.0
2014-05-21,21,5,2014,20.51000022888184,0.5432656348948646,-0.296,-0.296,PetSmart Petco To Stop Selling Chinese Treats,By Connor Adams Sheets - Pet product retail chainÂ PetSmart Inc (NASDAQ:PETM) announced Wednesday that it will stop selling dog and cat treats manufactured in China amid concerns...,pet product retailer PetSmart Inc (NASDAQ:PETM) will stop selling dog and cat,1.0
2014-08-19,19,8,2014,20.46999931335449,-0.0019503127782037888,-0.1779,-0.296,Exclusive: Amid investor pressure PetSmart says to explore sale,By Soyoung Kim NEW YORK (Reuters) - PetSmart Inc said on Tuesday it will explore a potential sale of the company bowing to mounting pressure from several shareholders led by...,petSmart Inc will explore a potential sale of the company bowing to mounting pressure from several,1.0
2015-08-24,24,8,2015,18.8799991607666,-0.07767465588289402,0.4019,0.0,Sears looks to boost Kenmore and Craftsman brands with new hire,"By Nathan Layne (Reuters) - Sears Holdings Corp (O:SHLD) named a former Johnson & Johnson (N:JNJ) executive to a new position as president of ""hardlines"" as the...",Sears Holdings named a former Johnson & Johnson executive to a new,0.0
2015-09-18,18,9,2015,20.65999984741211,0.09427970157670451,0.128,0.0,Exclusive: Petco begins merger talks with PetSmart - sources,By Lauren Hirsch and Greg Roumeliotis NEW YORK (Reuters) - Petco Holdings Inc is exploring the possibility of being acquired by PetSmart Inc (NASDAQ:PETM) according to people...,Petco Holdings Inc is exploring the possibility of being acquired by PetSmart Inc .,0.0
2016-10-28,28,10,2016,30.770000457763672,0.489351436835463,0.0,0.4939,Huntsman launches process to spin off new TiO2 company | Huntsman launches process to spin off new TiO2 company,Huntsman (HUN +4.6%) is higher in early trading after beginning the process to create a new publicly traded specialty chemical business next year filing an initial Form 10... | Huntsman (HUN +4.6%) is higher in early trading after beginning the process to create a new publicly traded specialty chemical business next year filing an initial Form 10...,huntsman (HUN +4.6%) is higher in early trading after beginning the process to create a new publicly traded specialty chemical,1.0
2016-11-14,14,11,2016,29.93000030517578,-0.027299322069913923,0.0,0.6705,Huntsman names Douglas as new CFO,Huntsman  (HUN +0.8%) promotes Sean Douglas to Executive VP and CFO and appoints current CFO Kimo Esplin as Executive VP for Strategy and Investment both effective Jan. 1. ...,huntsman (HUN +0.8%) promotes Sean Douglas to executive VP and C,0.0
2016-12-12,12,12,2016,30.1200008392334,0.006348163452065236,0.0,0.0,Private jet startup JetSmarter says it raises $105 million,By Heather Somerville SAN FRANCISCO (Reuters) - Private jet startup JetSmarter said on Monday it had raised $105 million in financing from a range of investors including the Saudi...,jetSmarter said on Monday it had raised $105 million in financing from a range of,1.0
